"stockid","name","kgprecf0","rbar","ssbcurr","b0"
"35","MEG8c9a","MEG8c9a.doc:KGPRECF0  "," 0.78 ","32867909.0909091",NA,25636.9690909091
"36","NPOUTNS","NPOUTNS.doc:KGPRECF0  "," 0.00492","1.25612e+11","161236",618011.04
"37","PCODGA","PCODGA.doc:KGPRECF0  "," NA","338008750","121105",NA
"38","PCODHS","PCODHS.doc:KGPRECF0  "," NA","NaN",NA,NA
"39","PERCHWUS","PERCHWUS.doc:KGPRECF0  "," 322908.","6626923.07692308","10168",2139886476.92308
"40","PHAKEVANCON","PHAKEVANCON.doc:KGPRECF0  "," 1.79","7557818181.81818","1097000",13528494.5454545
"41","PLAIC7d","PLAIC7d.doc:KGPRECF0  "," 6.7 ","24054857.1428571","5274",161167.542857143
"42","PLAICIIIa","PLAICIIIa.doc:KGPRECF0  "," 5.4 ","38127142.8571429","15678",205886.571428572
"43","PLAICIS","PLAICIS.doc:KGPRECF0  "," 3.5 ","13346666.6666667","9194",46713.3333333334
"44","PLAICNS","PLAICNS.doc:KGPRECF0  "," 6.0 ","1029408","197265",6176.448
"45","POLLFA","POLLFA.doc:KGPRECF0  "," 19. ","23050000","98406",437950
"46","POLLNEAR","POLLNEAR.doc:KGPRECF0  "," 11.14","205877888.888889","787915",2293479.68222222
"47","RSNAPGULFM","RSNAPGULFM.doc:KGPRECF0  "," 26230000","NaN",NA,NA
"48","SABLEFUSA","SABLEFUSA.doc:KGPRECF0  "," 11.15","17566840.7407407","93831.2",195870.274259259
"49","SARDVIIIc-IXa","SARDVIIIc-IXa.doc:KGPRECF0  "," 0.116","6404478500","569367",742919.506
"50","SFLOUNDMAB","SFLOUNDMAB.doc:KGPRECF0  "," NA","36106857.1428571","43363",NA
"51","SOLECS","SOLECS.doc:KGPRECF0  "," 5.1 ","4338666.66666667","2576",22127.2
"52","SOLEIIIa","SOLEIIIa.doc:KGPRECF0  "," 3.00 ","3335000","4146",10005
"53","SOLEIS","SOLEIS.doc:KGPRECF0  "," 3.5 ","6145900","1750",21510.65
"54","SOLENS","SOLENS.doc:KGPRECF0  "," 3.5 ","157508307.692308","28010",551279.076923078
"55","SOLEVIId","SOLEVIId.doc:KGPRECF0  "," 3.4 ","31755333.3333333","11650",107968.133333333
"56","SOLEVIIe","SOLEVIIe.doc:KGPRECF0  "," 2.81","5920700","2308",16637.167
"57","SOLEVIII","SOLEVIII.doc:KGPRECF0  "," 5.1 ","25272166.6666667","11346",128888.050000000
"58","SPRAT22-32","SPRAT22-32.doc:KGPRECF0  "," 0.025","109030444444.444","1196000",2725761.1111111
"59","WHITVIa","WHITVIa.doc:KGPRECF0  "," 1.79","5713.16666666667","0.169",10.2265683333333
"60","YELL5Z","YELL5Z.doc:KGPRECF0  "," 2.153","30072888.8888889",NA,64746.9297777778
"61","YELLSNE","YELLSNE.doc:KGPRECF0  "," 2.153","36829666.6666667",NA,79294.2723333334
