 specid |                sci_name                 |               com_name                
   6117 | HIPPASTERIA PHRYGIANA                   | HIPPASTERIA PHRYGIANA
   6119 | HENRICIA SANGUINOLENTA                  | BLOOD STAR
   6120 | HENRICA SP.                             | HENRICA SP
   6121 | SOLASTER ENDECA                         | PURPLE SUNSTAR
   6123 | SOLASTER PAPPOSUS                       | SUN STAR
   6125 | PTERASTER MILITARIS                     | PTERASTER MILITARIS
   6200 | OPHIUROIDEA S.C.                        | BRITTLE STAR
   6201 | OPHIACANTHA ABYSSICOLA                  | OPHIACANTHA ABYSSICOLA
   6211 | OPHIOPHOLIS ACULEATA                    | DAISY
   6212 | OPHIURA SP.                             | OPHIURA SP.
   6213 | OPHIURA SARSI                           | OPHIURA SARSI
   6300 | GORGONOCEPHALIDAE,ASTERONYCHIDAE F.     | BASKET STARS
   6310 | GORGONOCEPHALUS SP.                     | GORGONOCEPHALUS SP.
   6400 | STRONGYLOCENTROTUS SP.                  | SEA URCHINS
   6411 | STRONGYLOCENTROTUS DROEBACHIENSIS       | STRONGYLOCENTROTUS DROEBACHIENSIS
   6413 | BRISASTER FRAGILIS                      | HEART URCHIN
   6421 | ARBACIA PUNCTULATA                      | PURPLE-SPINED SEA URCHIN
   6500 | CLYPEASTEROIDA O.                       | SAND DOLLARS
   6511 | ECHINARACHNIUS PARMA                    | ECHINARACHNIUS PARMA
   6600 | HOLOTHUROIDEA C.                        | SEA CUCUMBERS
   6713 | PSOLUS FABRICII                         | SCARLETT PSOLUS
   8208 | ACTINIARIA C.                           | ANTHOZOA SEA ANEMONES
   8300 | ANTHOZOA C.                             | SEA ANEMONE
   8318 | PENNATULACEA                            | SEA PEN
   8322 | PRIMNOA RESEDAEFORMIS                   | SEA CORN
   8323 | PARAGORGIA ARBOREA                      | BUBBLE GUM CORAL
   8324 | EUNEPHTHYA RUBIFORMIS                   | SEA CAULIFLOWER, STRAWBERRIES
   8325 | KERATOISIS ORNATA                       | GOLD-BANDED/BAMBOO CORAL
   8326 | ACANTHOGORGIA ARMATA                    | ACANTHOGORGIA ARMATA
   8327 | SOFT CORAL UNIDENTIFIED                 | SOFT CORAL UNIDENTIFIED
   8328 | ANTHOMASTUS GRANDIFLORUS                | ANTHOMASTUS GRANDIFLORUS
   8329 | ACANELLA ARBUSCULA                      | ACANELLA ARBUSCULA
   8330 | RADICIPES GRACILIS                      | RADICIPES GRACILIS
   8331 | LOPHELIA PERTUSA                        | SPIDER HAZARDS CORAL
   8332 | ANTHOZOA                                | CORAL (NS)
   8335 | FLABELLUM SP                            | CUP CORAL
   8339 | Clavularia spp.                         | Clavularia spp
   8340 | ECHINUS SP.                             | ECHINUS SP.
   8344 | HETROPODIDAE                            | STAGHORN BRYOZOA
   8345 | THYONELLA AFF. PERVICAX                 | SEA CUCUMBER
   8346 | PSEUDARCHASTER PARELII                  | PSEUDARCHASTER PARELII
   8347 | PSILASTER ANDROMEDA                     | PSILASTER ANDROMEDA
   8348 | LEPTYCHASTER ARCTICUS                   | LEPTYCHASTER ARCTICUS
   8349 | LOPHASTER FURCIFER                      | LOPHASTER FURCIFER
   8352 | SYSCENUS INFELIX                        | SYSCENUS INFELIX
   8353 | ACANTHEPHYRA PELAGICA                   | ACANTHEPHYRA PELAGICA
   8354 | SERGIA SP.                              | SERGIA SP.
   8355 | OCTOPODA, CIRRATA                       | DEEP SEA FINNED OCTOPUS
   8356 | RHIZAXINELLA SP.                        | SPONGE
   8357 | GORGONOCEPHALUS LAMARCKI                | GORGONOCEPHALUS LAMARCKI
   8358 | EUSIRUS CUSPIDATUS                      | EUSIRUS CUSPIDATUS
   8359 | FUNICULINA QUADRANGULARIS               | FUNICULINA QUADRANGULARIS
   8360 | PENNATULA BOREALIS                      | PENNATULA BOREALIS
   8361 | ANTHOPTILUM GRANDIFLORUM                | ANTHOPTILUM GRANDIFLORUM
   8362 | FLABELLUM ALABASTRUM                    | FLABELLUM ALABASTRUM
   8363 | HALIPTERUS (BALTICINA) SP.              | HALIPTERUS (BALTICINA) SP.
   8405 | SERTULARIA SP.                          | GARLAND HYDROIDS
   8500 | SCYPHOZOA C.                            | JELLYFISHES
   8511 | CYANEA CAPILLATA                        | PINK JELLYFISH
   8520 | PELAGIA NOCTILUCA                       | JELLYFISH
   8530 | SEA CORALS (NS)                         | SEA CORALS (NS)
   8600 | PORIFERA P.                             | SPONGES
   8601 | VAZELLA POURTALESI                      | RUSSIAN HATS
   8610 | POLYMASTIA SP.                          | POLYMASTIA SP.
   9000 | UNID REMAINS,DIGESTED                   | UNID REMAINS,DIGESTED
   9001 | UNID FISH AND INVERTEBRATES             | UNID FISH AND INVERTEBRATES
   9200 | STONES AND ROCKS                        | STONES AND ROCKS
   9400 | FOREIGN ARTICLES,GARBAGE                | FOREIGN ARTICLES,GARBAGE
   9991 | UNIDENTIFIED                            | FIRST UNIDENTIFIED PER SET
   9993 | UNIDENTIFIED                            | THIRD UNIDENTIFIED PER SET
   9994 | UNIDENTIFIED                            | FOURTH UNIDENTIFIED PER SET
   9996 | UNIDENTIFIED                            | SIXTH UNIDENTIFIED PER SET
   9997 | UNIDENTIFIED                            | SEVENTH UNIDENTIFIED PER SET
   9998 | UNIDENTIFIED                            | EIGHTH UNIDENTIFIED PER SET
   9999 | UNIDENTIFIED                            | NINTH UNIDENTIFIED PER SET
(488 rows)

