"assessid" "maxyr.x" "numerator" "denominator" "ratio.x" "btype" "maxyr.y" "u" "fmsy" "ratio.y" "utype"
"17" "AFSC-RKCRABBB-1960-2008-JENSEN" 2008 34070 43356.14 1.27256061050778 "yes" 2007 0.33 0.3478 1.05393939393939 "yes"
"18" "AFSC-SABLEFEBSAIGA-1956-2008-MELNYCHUK" 2008 100730 106000 1.05231807803038 "yes" 2008 0.101 0.067 0.663366336633663 "yes"
"19" "AFSC-SNOWCRABBS-1979-2008-JENSEN" 2008 418030.728 231059.95 0.55273436741234 "yes" 2008 0.0976754559670919 0.0655166 1.49085050150789 "no"
"20" "AFSC-TANNERCRABBSAI-1965-2008-JENSEN" 2008 86073.62 49114.94 0.570615480097154 "yes" 2007 0.0533107230332171 0.353052 0.150999634708817 "no"
"21" "AFSC-WPOLLAI-1976-2008-MELNYCHUK" 2008 98987 84936 0.8580520674432 "yes" 2008 0.357 0.008 0.0224089635854342 "yes"
"22" "AFSC-WPOLLEBS-1963-2008-MELNYCHUK" 2008 1919000 1267000 0.660239708181344 "yes" 2008 0.236854571293226 0.277955 0.852132795931809 "no"
"23" "AFSC-YSOLEBSAI-1959-2008-MELNYCHUK" 2008 329000 637811 1.93863525835866 "yes" 2008 0.13 0.08 0.615384615384615 "yes"
"24" "AFWG-CAPENOR-1965-2007-MINTO" 2006 902000 5200350 0.173449863951465 "no" 2006 0 0.214238 0 "no"
"25" "AFWG-CODCOASTNOR-1982-2006-MINTO" 2006 84983 310231 0.273934584229171 "no" 2006 0.307520327594931 0.141717 2.16996074990954 "no"
"26" "AFWG-CODNEAR-1943-2006-MINTO" 2006 1462430 2604060 0.561596122977197 "no" 2006 0.407675581053452 0.286312 1.4238857646674 "no"
"27" "AFWG-GHALNEAR-1959-2007-JENNINGS" 2006 111734 312354 0.357715924880104 "no" 2006 0.160291406375857 0.133185 1.20352446879046 "no"
"28" "AFWG-HADNEAR-1947-2006-MINTO" 2006 483027 439090 1.10006376824797 "no" 2006 0.356445912961387 0.335446 1.06260296131535 "no"
"29" "AFWG-POLLNEAR-1957-2006-MINTO" 2006 1309499 772332 1.69551306950897 "no" 2006 0.162260528644925 0.271968 0.596616251341792 "no"
"30" "ASMFC-ATLCROAKMATLC-1973-2002-STANTON" 2002 56467 80328 1.42256539217596 "yes" 2002 0.407 0.11 0.27027027027027 "yes"
"31" "ASMFC-PANDALGOM-1960-2009-IDOINE" 2008 28100 17784.7 1.58000978369048 "no" 2008 0.170231316725979 0.304048 0.559883034014296 "no"
"32" "CSIRO-DEEPFLATHEADSE-1978-2007-FULTON" 2007 3286.512 4950.74 1.50638123335621 "yes" 2006 0.10212161989608 0.168714 0.605294284387069 "no"
"33" "CSIRO-GEMFISHSE-1966-2007-FULTON" 2007 5458.32 1357.23 0.248653431825177 "yes" 2007 0.0270521868510459 0.06856 0.394576821047927 "no"
"34" "CSIRO-MORWONGSE-1913-2007-FULTON" 2007 11482.608 3591.07 0.31273992807209 "yes" 2007 0.0585866416539186 0.0325922 1.7975663396125 "no"
"35" "CSIRO-NZLINGESE-1968-2007-FULTON" 2007 3324.48 1960.12 0.589601982866493 "yes" 2007 0.172942895947591 0.078599 2.20031929092725 "no"
"36" "CSIRO-OROUGHYSE-1978-2007-FULTON" 2007 8149.26 4227.02 0.518699857410366 "yes" 2006 0.010238142917579 0.0348067 0.294142878169403 "no"
"37" "CSIRO-PTOOTHFISHMI-1975-2010-FAY" 2010 869.707 2004.41 2.30469571936296 "yes" 2009 0.0580997 0.0112664 0.193914942762183 "yes"
"38" "CSIRO-SILVERFISHSE-1978-2006-FULTON" 2006 9927.456 10231.5 1.03062657744341 "yes" 2006 0.183839633643371 0.231549 0.79395563635935 "no"
"39" "CSIRO-SWHITSE-1945-2007-FULTON" 2007 3734.3088 2476.8 0.663255272300995 "yes" 2007 0.19606618810951 0.239104 0.82000379796871 "no"
"40" "CSIRO-TIGERFLATSE-1913-2006-FULTON" 2006 5472.868 10877.4 1.98751367655862 "yes" 2005 0.121870571563533 0.118597 1.02760248204873 "no"
"41" "CSIRO-WAREHOUESE-1984-2006-FULTON" 2006 1568.16 765.349 0.488055428017549 "yes" 2006 0.110860994777933 0.132532 0.836484734086356 "no"
"42" "CSIRO-WAREHOUWSE-1984-2006-FULTON" 2006 1568.16 648.007 0.413227604326089 "yes" 2006 0.458162158860093 0.224121 2.04426251382107 "no"
"43" "DFO-COD5Zjm-1978-2003-PREFONTAINE" 2002 16683 49101.9 0.339762819768685 "no" 2002 0.0811604627465084 0.18083 0.448821892089302 "no"
"44" "DFO-NFLD-COD3Ps-1959-2004-PREFONTAINE" 2004 98246 202477 0.485220543567911 "no" 2004 0.0804205769191621 0.197706 0.406768519514643 "no"
"45" "DFO-PAC-ESOLEHS-1944-2001-COLLIE" 2001 3405 2757.62 1.23476040933849 "no" 2001 0.1215859030837 0.331411 0.366873468544196 "no"
"46" "DFO-PAC-HERRCC-1951-2007-COLLIE" 2007 11170.53 37276 0.299670833780449 "no" 2007 0.0356294643136897 0.317346 0.112273242182632 "no"
"47" "DFO-PAC-HERRPRD-1951-2007-COLLIE" 2007 17781.73 108763 0.163490617213574 "no" 2007 0.0544378977748509 0.167607 0.324794893857959 "no"
"48" "DFO-PAC-HERRQCI-1951-2007-COLLIE" 2007 9151.84 44812.6 0.204224704658958 "no" 2007 0 0.212419 0 "no"
"49" "DFO-PAC-HERRSOG-1951-2007-COLLIE" 2007 75516.21 82875.5 0.911200656406296 "no" 2007 0.130064790062955 0.321903 0.404049636266064 "no"
"50" "DFO-PAC-HERRWCVANI-1951-2007-COLLIE" 2007 2144.14 63187.1 0.0339331920597717 "no" 2007 0 0.240604 0 "no"
"51" "DFO-PAC-PCODHS-1956-2005-COLLIE" 2004 9601 26222.6 0.366134555688604 "no" 2004 0.0416623268409541 0.165345 0.251972099797116 "no"
"52" "DFO-PAC-PCODWCVANI-1956-2002-COLLIE" 2001 4497 15979.4 0.281424834474386 "no" 2001 0.0753835890593729 0.122637 0.614688789348834 "no"
"53" "DFO-PAC-RSOLEHSTR-1945-2001-COLLIE" 2001 4854 4727.05 1.02685607302652 "no" 2001 0.118459002884219 0.26542 0.446307749544945 "no"
"54" "DFO-PAC-SABLEFPCAN-1913-2004-STANTON" 2004 150534 25603 0.170081177674147 "yes" 2004 0.047 0.181470456363487 3.86107353964866 "yes"
"55" "DFO-POLL4VWX5Zc-1974-2007-PREFONTAINE" 2006 34130 61342.3 0.556386050082895 "no" 2006 0.0724875476120715 0.238132 0.304400700502543 "no"
"56" "DFO-QUE-COD3Pn4RS-1964-2007-PREFONTAINE" 2006 53460 602681 0.0887036425571737 "no" 2006 0.102113729891508 0.129259 0.789993191124082 "no"
"57" "HAWG-HERRNIRS-1960-2006-JENNINGS" 2006 69769 96896.8 0.720034098133272 "no" 2006 0.0630939242356921 0.187412 0.336658934516958 "no"
"58" "HAWG-HERRNS-1960-2007-MINTO" 2006 2295022 3514600 0.65299664257668 "no" 2006 0.224223122915597 0.170113 1.3180834087671 "no"
"59" "HAWG-HERRVIa-1957-2006-MINTO" 2006 111054 618720 0.179489914662529 "no" 2006 0.246240567651773 0.155007 1.58857708136905 "no"
"60" "HAWG-HERRVIaVIIbc-1969-2000-MINTO" 2000 105417 212720 0.495566942459571 "no" 2000 0.188261855298481 0.18071 1.04178991366544 "no"
"61" "ICCAT-ALBANATL-1929-2005-WORM" 2005 167000 135750 0.812874251497006 "yes" 2005 0.181 0.2696 1.48950276243094 "yes"
"62" "ICCAT-ATBTUNAEATL-1969-2007-WORM" 2007 495914.5 166431.7 0.33560563363241 "yes" 2007 0.1141685 1.071 9.38087125608202 "yes"
"63" "ICCAT-ATBTUNAWATL-1969-2007-WORM" 2007 15148 8693 0.57387113810404 "yes" 2006 0.15 0.199 1.32666666666667 "yes"
"64" "ICCAT-BIGEYEATL-1950-2005-JENSEN" 2005 405600 450663 0.900007322544784 "no" 2005 0.201 0.175 0.870646766169154 "yes"
"65" "ICCAT-SKJEATL-1950-2006-JENSEN" 2006 656086.01 383658 1.7100803580272 "no" 2006 0.636753571828511 0.172163478405112 0.270376933906668 "yes"
"66" "ICCAT-SKJWATL-1952-2006-JENSEN" 2006 167224.43 97261.2 1.71933340324816 "no" 2006 0.489367075307683 0.158189108203478 0.323252454415775 "yes"
"67" "ICCAT-SWORDMED-1968-2006-JENSEN" 2006 117300 110000 0.937766410912191 "yes" 2005 0.1035 0.131 1.26570048309179 "yes"
"68" "ICCAT-SWORDNATL-1978-2007-JENSEN" 2005 47399 46924.05 0.989979746408152 "yes" 2005 0.3895 0.341 0.875481386392811 "yes"
"69" "ICCAT-SWORDSATL-1970-2005-JENSEN" 2005 46690 71880 1.53951595630756 "yes" 2005 0.356 0.176 0.49438202247191 "yes"
"70" "ICCAT-YFINATL-1970-2006-JENSEN" 2006 173191.00788815 185066.5 1.06856875686941 "yes" 2006 0.73235 0.593 0.809722127398102 "yes"
"71" "INIDEP-ARGANCHONARG-1989-2007-Parma" 2007 748152 1024632.34 1.36955102706402 "yes" 2007 0.1898 0.032 0.168598524762908 "yes"
"72" "INIDEP-ARGANCHOSARG-1992-2007-Parma" 2007 298839 936814.46 3.13484672348656 "yes" 2007 0.17 0.006 0.0352941176470588 "yes"
"73" "INIDEP-ARGHAKENARG-1985-2007-Parma" 2007 429200 70061 0.163236253494874 "yes" 2007 0.4322 0.5452 1.26145303100416 "yes"
"74" "INIDEP-ARGHAKESARG-1985-2008-Parma" 2008 701328.02 238939 0.340695071615704 "yes" 2008 0.4285 0.64 1.49358226371062 "yes"
"75" "INIDEP-PATGRENADIERSARG-1983-2006-Parma" 2006 372542 676770 1.81662738697919 "yes" 2006 0.3294 0.196 0.595021250758956 "yes"
"76" "IOTC-BIGEYEIO-1957-2006-JENSEN" 2004 350000 430000 1.22857142857143 "yes" 2004 0.3 0.29 0.966666666666667 "yes"
"77" "MARAM-ANCHOSA-1984-2006-deMoor" 2006 1779948.86 1831850 0.971667363594181 "no" 2006 0.0757909415442419 0.211488 0.358369938456281 "no"
"78" "MARAM-CHAKESA-1917-2008-DEDECKER" 2008 218000 500511.3 2.29592339449541 "yes" 2008 0.0465863607874587 0.116458 0.400027141007563 "no"
"79" "MARAM-CTRACSA-1950-2007-Johnston" 2007 696895 472492 1.47493502535493 "no" 2007 0.0703118834257671 0.0924455 0.760576592973883 "no"
"80" "MARAM-KINGKLIPSA-1932-2008-DEDECKER" 2008 66828 80513.4 1.20478541928533 "yes" 2008 0.0268774827292049 0.0484592 0.554641486636281 "no"
"81" "MARAM-SARDSA-1984-2006-deMoor" 2006 1400238.514 1860220 0.752727373106407 "no" 2006 0.155072152229059 0.279445 0.554929063783784 "no"
"82" "MARAM-SSLOBSTERSASC-1973-2008-Johnston" 2008 465.44 904.625 0.514511537930082 "no" 2008 0.779907184599519 0.518252 1.50488022159011 "no"
"83" "NAFO-SC-AMPL3LNO-1955-2007-BAUM" 2006 44056.77 562560 0.0783147930887372 "no" 2006 0.0641899077031748 0.0837661 0.766299346670966 "no"
"84" "NAFO-SC-COD3NO-1953-2007-BAUM" 2006 8803 395435 0.0222615600541176 "no" 2006 0.0682721799386573 0.25365 0.269158998378306 "no"
"85" "NAFO-SC-GHAL23KLMNO-1960-2006-PREFONTAINE" 2006 76510 194547 0.393272576806633 "no" 2006 0.313684485688145 0.181228 1.73088311788546 "no"
"86" "NAFO-SC-REDFISHSPP3LN-1959-2008-BAUM" 2008 141900 266800 1.88019732205779 "yes" 2007 0.172 0.007 0.0406976744186047 "yes"
"87" "NAFO-SC-YELL3LNO-1960-2009-BAUM" 2007 119800 74120.8 1.61628045029196 "no" 2007 0.0385893155258765 0.253339 0.152322838275498 "no"
"88" "NEFSC-AMPL5YZ-1960-2008-OBRIEN" 2007 22243 15659.02 0.703997662185856 "yes" 2007 0.0578575570792307 0.192064 0.301241029444512 "no"
"89" "NEFSC-BLUEFISHATLC-1981-2007-SHEPHERD" 2007 153843 189909 0.810087989510766 "no" 2007 0.19 0.15 0.789473684210526 "yes"
"90" "NEFSC-BSBASSMATLC-1968-2007-SHEPHERD" 2007 12537 11478.36 0.91555874611151 "yes" 2007 0.218037122933844 0.325755 0.669328553464549 "no"
"91" "NEFSC-CODGB-1960-2008-BAUM" 2007 148084 17672 0.119337673212501 "yes" 2007 0.202259337378802 0.27914 0.724580272905359 "no"
"92" "NEFSC-CODGOM-1893-2008-BAUM" 2007 52160 35817.9 1.45625511266713 "no" 2007 0.237 0.5686 2.39915611814346 "yes"
"93" "NEFSC-HAD5Y-1956-2008-BAUM" 2007 5900 5846 0.990847457627119 "yes" 2007 0.189473684210526 0.15722 1.20515000769957 "no"
"94" "NEFSC-MONKGOMNGB-1964-2006-RICHARDS" 2006 118700 68431.7 1.73457622709943 "no" 2006 0.060547598989048 0.161271 0.375440091455054 "no"
"95" "NEFSC-MONKSGBMATL-1964-2006-RICHARDS" 2006 135454 78932 1.716084731161 "no" 2006 0.0705846265152746 0.235938 0.299165994944751 "no"
"96" "NEFSC-SCALLGB-1964-2006-HART" 2006 81047 51023.4 1.58842805457888 "no" 2006 0.213283650227646 0.272639 0.782293253084282 "no"
"97" "NEFSC-SCALLMATLC-1964-2006-HART" 2006 85161 85161.3 0.999996477273128 "no" 2006 0.103556792428459 0.290507 0.356469181219244 "no"
"98" "NEFSC-TILEMATLC-1973-2008-NITSCHKE" 2005 6712 9364.41 0.716756314599638 "no" 2005 0.129320619785459 0.213346 0.606154414825958 "no"
"99" "NEFSC-WHAKEGBGOM-1963-2007-SOSEBEE" 2007 56300 19810 0.351865008880995 "yes" 2007 0.19 0.152 0.8 "yes"
"100" "NEFSC-WINFLOUN5Z-1982-2007-HENDRICKSON" 2006 16000 4477 0.2798125 "yes" 2006 0.0865178649427798 0.343846 0.251618064315943 "no"
"101" "NEFSC-WINFLOUNSNEMATL-1940-2007-TERCEIRO" 2007 38761 3367.62 0.0868816593999123 "yes" 2007 0.296597987541926 0.268861 1.10316478604902 "no"
"102" "NEFSC-WITFLOUN5Y-1982-2008-WIGLEY" 2007 11447 3434 0.29999126408666 "yes" 2007 0.2 0.29 1.45 "yes"
"103" "NEFSC-YELLCCODGOM-1935-2008-LEGAULT" 2007 7790 1922 0.246726572528883 "yes" 2007 0.239 0.414 1.73221757322176 "yes"
"104" "NEFSC-YELLGB-1935-2008-BAUM" 2007 43200 9526 0.220509259259259 "yes" 2007 0.254 0.29 1.14173228346457 "yes"
"105" "NEFSC-YELLSNEMATL-1935-2008-BAUM" 2007 27400 3508 0.128029197080292 "yes" 2007 0.254 0.41 1.61417322834646 "yes"
"106" "NIWA-AUSSALMONNZ-1975-2006-JENSEN" 2006 12280.7293248 20200 1.64485345012919 "yes" 2006 0.32 0.105 0.328125 "yes"
"107" "NIWA-OROUGHYNZMEC-1981-2004-JENSEN" 2004 20213.00407 24345.85 1.20446470577493 "yes" 2004 0.044 0.0155329425 0.353021420454545 "yes"
"108" "NMFS-MENATLAN-1940-2005-STANTON" 2005 689357.43 1479280 0.466008754258829 "no" 2005 0.26851092328112 0.277424 0.967872005598362 "no"
"109" "NWFSC-ARFLOUNDPCOAST-1916-2007-BRANCH" 2007 16593 63301.5 3.81495208822998 "yes" 2006 0.21 0.044 0.20952380952381 "yes"
"110" "NWFSC-BLACKROCKNPCOAST-1914-2006-BRANCH" 2006 9063 6591.31 1.37499222461089 "no" 2006 0.141 0.066 0.468085106382979 "yes"
"111" "NWFSC-BLACKROCKSPCOAST-1915-2007-BRANCH" 2007 1444.6 3226.5 2.23349023951267 "yes" 2006 0.08864 0.029 0.32716606498195 "yes"
"112" "NWFSC-BLUEROCKCAL-1916-2007-BRANCH" 2007 831 622 0.74849578820698 "yes" 2007 0.0403 0.048 1.19106699751861 "yes"
"113" "NWFSC-BOCACCSPCOAST-1951-2006-BRANCH" 2006 5.429e+09 1.727e+09 0.318106465279057 "yes" 2006 0.063 0.006 0.0952380952380952 "yes"
"114" "NWFSC-CHILISPCOAST-1892-2007-BRANCH" 2006 32852 22913.7 1.43372742071337 "no" 2006 0.112 0.004 0.0357142857142857 "yes"
"115" "NWFSC-COWCODSCAL-1900-2007-BRANCH" 2007 995 93.5 0.0939698492462312 "yes" 2007 0.027 0.002 0.0740740740740741 "yes"
"116" "NWFSC-CROCKPCOAST-1916-2007-BRANCH" 2007 12394 10544 0.850734226238502 "yes" 2006 0.094 0.002 0.0212765957446809 "yes"
"117" "NWFSC-CROCKPCOAST-1916-2009-Stachura" 2009 9928 6170 0.621474617244158 "yes" 2008 0.094 0.003 0.0319148936170213 "yes"
"118" "NWFSC-DKROCKPCOAST-1928-2007-BRANCH" 2007 937600000 685300000 0.730908703071672 "yes" 2006 0.048 0.015 0.3125 "yes"
"119" "NWFSC-ESOLEPCOAST-1876-2007-BRANCH" 2007 6526 41907 6.4215445908673 "yes" 2006 0.0150076569678407 0.109829 0.136645667062804 "no"
"120" "NWFSC-LNOSESKAPCOAST-1915-2007-BRANCH" 2007 71217.1 45714.6 1.55786335218945 "no" 2007 0.0126265040278248 0.0319491 0.395206876807947 "no"
"121" "NWFSC-LSTHORNHPCOAST-1962-2005-STANTON" 2005 28305 75049 2.65143967496909 "yes" 2004 0.055 0.0125 0.227272727272727 "yes"
"122" "NWFSC-PHAKEPCOAST-1966-2008-BRANCH" 2008 680000 1097000 1.61323529411765 "yes" 2007 0.26 0.19 0.730769230769231 "yes"
"123" "NWFSC-POPERCHPCOAST-1953-2007-BRANCH" 2007 14793 10168 0.687352126005543 "yes" 2007 0.0382 0 0 "yes"
"124" "NWFSC-PSOLENPCOAST-1910-2005-STANTON" 2005 2658 4960 1.8660647103085 "yes" 2004 0.153750313571369 0.122284 1.25732159212463 "no"
"125" "NWFSC-PSOLESPCOAST-1874-2005-STANTON" 2005 4121 4667 1.13249211356467 "yes" 2004 0.0579463480613165 0.0945325 0.612978055814841 "no"
"126" "NWFSC-WROCKPCOAST-1955-2006-BRANCH" 2006 120132 131549 0.913211046834259 "no" 2006 0.121 0.006 0.0495867768595041 "yes"
"127" "NWFSC-YEYEROCKPCOAST-1923-2006-BRANCH" 2006 1309.8 3444.44 0.380265006793557 "no" 2006 0.017 0.011 0.647058823529412 "yes"
"128" "NWFSC-YTROCKNPCOAST-1967-2005-STANTON" 2005 12407 16915.83 1.36341017167728 "yes" 2005 0.0217403020871229 0.0429719 0.505919032835944 "no"
"129" "NWWG-CAPEICE-1977-2007-MINTO" 2006 1177000 2423830 0.485595111868407 "no" 2006 0.320305862361937 0.375788 0.852357878276946 "no"
"130" "NWWG-CODFAPL-1959-2006-MINTO" 2006 25436 99317.4 0.256108194535902 "no" 2006 0.410677779525083 0.269785 1.52224096790067 "no"
"131" "NWWG-CODICE-1952-2006-MINTO" 2006 675000 1475000 0.457627118644068 "no" 2006 0.29037037037037 0.248879 1.16671302267516 "no"
"132" "NWWG-HADFAPL-1955-2006-MINTO" 2006 81300 95793.6 0.848699704364383 "no" 2006 0.207232472324723 0.192802 1.07484607174575 "no"
"133" "NWWG-HADICE-1977-2007-MINTO" 2007 300391 305099 0.984568943195487 "no" 2007 0.349584375031209 0.285113 1.22612569413253 "no"
"134" "NWWG-POLLFAPL-1958-2006-MINTO" 2006 238079 240557 0.989698907119726 "no" 2006 0.262681714892956 0.172612 1.52180447994899 "no"
"135" "NZMFishDEEPWATER-BLACKOREOWECR-1973-2007-JENSEN" 2007 27427 27166.5 0.990502060013855 "yes" 2007 0.0341 0.02813132 0.824965395894428 "yes"
"136" "NZMFishDEEPWATER-SMOOTHOREOCR-1979-2006-JENSEN" 2006 50242.75375 112982.4 2.2487302460009 "yes" 2006 0.0955 0.03672275 0.384531413612565 "yes"
"137" "NZMFishDEEPWATER-SMOOTHOREOWECR-1973-2004-JENSEN" 2004 21242.3892 26527.3 1.24879079044461 "yes" 2004 0.0793 0.04212243 0.531178184110971 "yes"
"138" "NZMFishHOKIWG-HOKIENZ-1972-2007-FRANCIS" 2007 734039 660648 1.11108941524079 "no" 2007 0.0655115055194615 0.201144 0.325694554744171 "no"
"139" "NZMFishHOKIWG-HOKIWNZ-1972-2007-FRANCIS" 2007 547212.5 1083490 0.505046193319735 "no" 2007 0.105465427050734 0.185341 0.569034520428477 "no"
"140" "NZMFishINSHOREWG-NZSNAPNZ8-1931-2005-JENSEN" 2005 23536.1148 8310.14 0.353080364818751 "yes" 2005 0.0923 0.2304556 2.49681040086674 "yes"
"141" "NZMFishINSHOREWG-TREVALLYTRE7-1944-2005-JENSEN" 2005 15634.89433 22474.7 1.43747054029498 "yes" 2005 0.113 0.0938384 0.830428318584071 "yes"
"142" "NZMFishLOBSTERWG-RROCKLOBSTERCRA1-1945-2001-JENSEN" 2001 1765.75 1550.94 1.13850310134499 "no" 2001 0.146362735381566 0.166184 0.880726997674661 "no"
"143" "NZMFishLOBSTERWG-RROCKLOBSTERCRA2-1945-2001-JENSEN" 2001 1173.46 2233.71 0.525341248416312 "no" 2001 0.3754793516609 0.177407 2.11648554826416 "no"
"144" "NZMFishLOBSTERWG-RROCKLOBSTERCRA4-1945-2005-JENSEN" 2005 1640.175 2453.88 0.668400655288767 "no" 2005 0.390903409697136 0.294996 1.32511427170923 "no"
"145" "NZMFishLOBSTERWG-RROCKLOBSTERCRA5-1945-2002-JENSEN" 2002 2495.975 4205.56 0.593494088777713 "no" 2002 0.20324722803714 0.120692 1.68401574285901 "no"
"146" "NZMFishLOBSTERWG-RROCKLOBSTERCRA7-1976-2005-JENSEN" 2005 405.563 558.312 0.72640924787574 "no" 2005 0.248247497922641 0.576242 0.430804241833537 "no"
"147" "NZMFishLOBSTERWG-RROCKLOBSTERCRA8-1976-2005-JENSEN" 2005 2302.75 3342.21 0.688990219046679 "no" 2005 0.27342525241559 0.559481 0.488712310901693 "no"
"148" "NZMFishMIDDEPTHSWG-GEMFISHNZ-1952-2007-JENSEN" 2006 1803.02616666667 2948.97666666667 1.63557064294778 "yes" 2007 0.289566666666667 0.1241336 0.428687464026706 "yes"
"149" "NZMFishMIDDEPTHSWG-NZLINGLIN3-4-1972-2007-JENSEN" 2007 30157.781 92542 3.06859446986501 "yes" 2007 0.354 0.0311497 0.0879935028248588 "yes"
"150" "NZMFishMIDDEPTHSWG-NZLINGLIN5-6-1972-2007-JENSEN" 2007 48407.352 191640 3.95890277162857 "yes" 2007 0.314 0.03112992 0.099139872611465 "yes"
"151" "NZMFishMIDDEPTHSWG-NZLINGLIN6b-1980-2006-JENSEN" 2006 3014.0994 6591.52 2.18689536250862 "yes" 2006 0.308 0.03479072 0.112956883116883 "yes"
"152" "NZMFishMIDDEPTHSWG-NZLINGLIN72-1972-2007-JENSEN" 2007 1700.080512 4227.21 2.48647635812674 "yes" 2007 0.246 0.07947418 0.323065772357724 "yes"
"153" "NZMFishMIDDEPTHSWG-NZLINGLIN7WC-1972-2008-JENSEN" 2008 28029.9456 62054.3 2.21385731123217 "yes" 2008 0.202 0.02703718 0.133847425742574 "yes"
"154" "NZMFishMIDDEPTHSWG-SBWHITACIR-1979-2006-JENSEN" 2006 52105.0464 60145.2 1.15430662009736 "yes" 2006 0.328 0.3010483 0.917830182926829 "yes"
"155" "NZMFishMIDDEPTHSWG-SOUTHHAKECR-1975-2006-JENSEN" 2006 7786.9455 13770.4 1.76839557949905 "yes" 2006 0.29 0.03351515 0.115569482758621 "yes"
"156" "NZMFishMIDDEPTHSWG-SOUTHHAKESA-1975-2007-JENSEN" 2007 14153.0846 41198.1 2.91089194789382 "yes" 2007 0.307 0.03276099 0.10671332247557 "yes"
"157" "NZMFishSHELLFISHWG-PAUAPAU5A-1964-2006-JENSEN" 2006 507.9625 704.538 0.720986660762088 "no" 2006 0.308536555355956 0.109197 2.82550395483353 "no"
"158" "NZMFishSHELLFISHWG-PAUAPAU5B-1963-2007-JENSEN" 2007 1565.78 1539.47 1.01709029731011 "no" 2007 0.0708911852239778 0.119542 0.593023248933244 "no"
"159" "NZMFishSHELLFISHWG-PAUAPAU5D-1964-2006-JENSEN" 2006 399.567 904.785 0.441615411396078 "no" 2006 0.277342723498187 0.131896 2.102737941243 "no"
"160" "NZMFishSHELLFISHWG-PAUAPAU7-1964-2008-JENSEN" 2008 1727.87 1977.12 0.873932791130533 "no" 2008 0.116947455537743 0.123999 0.943132247338632 "no"
"161" "RIDEM-LOBSTERRI-1959-2007-COLLIE" 2006 2920.318 5542.82 0.526865025384191 "no" 2006 0.224359128012771 0.33353 0.672680502541814 "no"
"162" "RIDEM-TAUTOGRI-1959-2007-COLLIE" 2006 1238.467 1478.22 0.837809662973035 "no" 2006 0.163901823786988 0.278232 0.589083296626514 "no"
"163" "RIDEM-WINFLOUNDRI-1959-2007-COLLIE" 2006 1285.498 5222.02 0.246168723980375 "no" 2006 0.266 0.5378 2.0218045112782 "yes"
"164" "SEFSC-GAGGM-1963-2004-JENSEN" 2004 12383.06 12343.6 0.996813388613154 "yes" 2004 0.201 0.49 2.43781094527363 "yes"
