commonname1, scientificname
"Basking shark","Cetorhinus maximus"
"Bastard grunt","Pomadasys incisus"
"Bastard halibut","Paralichthys olivaceus"
"Bay anchovy","Anchoa mitchilli"
"Bearded brotula","Brotula barbata"
"Benguela hake","Merluccius polli"
"Benthalbella elongata","Benthalbella elongata"
"Bering cisco","Coregonus laurettae"
"Bermuda anchovy","Anchoa choerostoma"
"Bermuda halfbeak","Hemiramphus bermudensis"
"Bermuda sea chub","Kyphosus saltatrix"
"Bible icefish","Neopagetopsis ionah"
"Bicolour parrotfish","Cetoscarus bicolor"
"Bigeye grenadier","Macrourus holotrachys"
"Bigeye grunt","Brachydeuterus auritus"
"Bigeye scad","Selar crumenophthalmus"
"Bigeye thresher","Alopias superciliosus"
"Bigeye trevally","Caranx sexfasciatus"
"Bigeye tuna","Thunnus obesus"
"Biglip grunt","Plectorhinchus macrolepis"
"Bignose unicornfish","Naso vlamingii"
"Big-scale sand smelt","Atherina boyeri"
"Bigspined boarfish","Pentaceros decacanthus"
"Birdbeak dogfish","Deania calcea"
"Black and white snapper","Macolor niger"
"Black cusk-eel","Genypterus maculatus"
"Black dogfish","Centroscyllium fabricii"
"Black driftfish","Hyperoglyphe bythites"
"Black drum","Pogonias cromis"
"Black goby","Gobius niger"
"Black grouper","Mycteroperca bonaci"
"Black jack","Caranx lugubris"
"Black marlin","Makaira indica"
"Black oreo","Allocyttus niger"
"Black pomfret","Parastromateus niger"
"Black porgy","Acanthopagrus schlegelii schlegelii"
"Black rockfish","Sebastes melanops"
"Black scabbardfish","Aphanopus carbo"
"Black scorpionfish","Scorpaena porcus"
"Black Sea sprat","Clupeonella cultriventris"
"Black seabass","Centropristis striata"
"Black seabream","Spondyliosoma cantharus"
"Black skipjack","Euthynnus lineatus"
"Black squirrelfish","Neoniphon opercularis"
"Blackbanded trevally","Seriolina nigrofasciata"
"Black-bellied angler","Lophius budegassa"
"Blackbelly rosefish","Helicolenus dactylopterus dactylopterus"
"Blackeye thicklip","Hemigymnus melapterus"
"Blackfin goosefish","Lophius gastrophysus"
"Blackfin icefish","Chaenocephalus aceratus"
"Blackfin tuna","Thunnus atlanticus"
"Blackfish","Centrolophus niger"
"Blackmouth catshark","Galeus melastomus"
"Blacksaddle grouper","Epinephelus howlandi"
"Blackspot seabream","Pagellus bogaraveo"
"Blackspotted rubberlips","Plectorhinchus gaterinus"
"Black-streaked monocle bream","Scolopsis taeniatus"
"Blacktail snapper","Lutjanus fulvus"
"Blacktip grouper","Epinephelus fasciatus"
"Blacktip reef shark","Carcharhinus melanopterus"
"Blacktip shark","Carcharhinus limbatus"
"Blochs gizzard shad","Nematalosa nasus"
"Blonde ray","Raja brachyura"
"Blotched picarel","Spicara maena"
"Blotcheye soldierfish","Myripristis berndti"
"Blue and gold fusilier","Caesio caerulaurea"
"Blue antimora","Antimora rostrata"
"Blue butterfish","Stromateus fiatola"
"Blue cod","Parapercis colias"
"Blue grenadier","Macruronus novaezelandiae"
"Blue jack mackerel","Trachurus picturatus"
"Blue ling","Molva dypterygia"
"Blue mackerel","Scomber australasicus"
"Blue runner","Caranx crysos"
"Blue shark","Prionace glauca"
"Blue skate","Dipturus batis"
"Blue whiting","Micromesistius poutassou"
"Blueback shad","Alosa aestivalis"
"Blue-barred parrotfish","Scarus ghobban"
"Bluefin gurnard","Chelidonichthys kumu"
"Bluefin trevally","Caranx melampygus"
"Bluefish","Pomatomus saltatrix"
"Bluelined squirrelfish","Sargocentron tiere"
"Bluespine unicornfish","Naso unicornis"
"Bluespot mullet","Valamugil seheli"
"Bluespotted seabream","Pagrus caeruleostictus"
"Bluestripe herring","Herklotsichthys quadrimaculatus"
"Blunt scalyhead","Trematomus eulepidotus"
"Bluntnose sixgill shark","Hexanchus griseus"
"Boarfish","Capros aper"
"Bobo croaker","Pseudotolithus elongatus"
"Bobo mullet","Joturus pichardi"
"Bocaccio","Sebastes paucispinis"
"Boe drum","Pteroscion peli"
"Bogue","Boops boops"
"Bombay duck","Harpadon nehereus"
"Bonefish","Albula vulpes"
"Bonga shad","Ethmalosa fimbriata"
"Borostomias antarcticus","Borostomias antarcticus"
"Bramble shark","Echinorhinus brucus"
"Brassy chub","Kyphosus vaigiensis"
"Brassy trevally","Caranx papuensis"
"Brazilian codling","Urophycis brasiliensis"
"Brazilian flathead","Percophis brasiliensis"
"Brazilian menhaden","Brevoortia aurea"
"Brazilian sardinella","Sardinella brasiliensis"
"Brick soldierfish","Myripristis amaena"
"Brill","Scophthalmus rhombus"
"Broad whitefish","Coregonus nasus"
"Broadnose sevengill shark","Notorynchus cepedianus"
"Broad-striped anchovy","Anchoa hepsetus"
"Broomtail grouper","Mycteroperca xenarcha"
"Brown meagre","Sciaena umbra"
"Brown smooth-hound","Mustelus henlei"
"Brown-marbled grouper","Epinephelus fuscoguttatus"
"Brownspotted grouper","Epinephelus chlorostigma"
"Brushtooth lizardfish","Saurida undosquamis"
"Bullet tuna","Auxis rochei rochei"
"Bulls-eye","Epigonus telescopus"
"Cabezon","Scorpaenichthys marmoratus"
"Cabinza grunt","Isacia conceptionis"
"Caitipa mojarra","Diapterus rhombeus"
"California flounder","Paralichthys californicus"
"California sheephead","Semicossyphus pulcher"
"Californian anchovy","Engraulis mordax"
"Camouflage grouper","Epinephelus polyphekadion"
"Canary damsel","Abudefduf luridus"
"Canary drum","Umbrina canariensis"
"Canary rockfish","Sebastes pinniger"
"Cape anchovy","Engraulis capensis"
"Cape elephantfish","Callorhinchus capensis"
"Cape gurnard","Chelidonichthys capensis"
"Cape horse mackerel","Trachurus capensis"
"Cape monk","Lophius vomerinus"
"Capelin","Mallotus villosus"
"Capro dory","Capromimus abbreviatus"
"Cardinal snapper","Pristipomoides macrophthalmus"
"Carolines parrotfish","Calotomus carolinus"
"Carpenter seabream","Argyrozona argyrozona"
"Cassava croaker","Pseudotolithus senegalensis"
"Cero","Scomberomorus regalis"
"Chacunda gizzard shad","Anodontostoma chacunda"
"Charr","Salvelinus alpinus alpinus"
"Cherry salmon","Oncorhynchus masou masou"
"Chilipepper","Sebastes goodei"
"Chinese gizzard shad","Clupanodon thrissa"
"Chinese silver pomfret","Pampus chinensis"
"Chinook salmon","Oncorhynchus tshawytscha"
"Chionobathyscus dewitti","Chionobathyscus dewitti"
"Chionodraco myersi","Chionodraco myersi"
"Chocolate hind","Cephalopholis boenak"
"Choicy ruff","Seriolella porosa"
"Chola guitarfish","Rhinobatos percellens"
"Chub mackerel","Scomber japonicus"
"Chum salmon","Oncorhynchus keta"
"Coastal trevally","Carangoides coeruleopinnatus"
"Cobia","Rachycentron canadum"
"Cocoa snapper","Paracaesio stonei"
"Coho salmon","Oncorhynchus kisutch"
"Comber","Serranus cabrilla"
"Comet grouper","Epinephelus morrhua"
"Common Atlantic grenadier","Nezumia aequalis"
"Common bluestripe snapper","Lutjanus kasmira"
"Common dentex","Dentex dentex"
"Common dolphinfish","Coryphaena hippurus"
"Common eagle ray","Myliobatis aquila"
"Common mora","Mora moro"
"Common pandora","Pagellus erythrinus"
"Common parrotfish","Scarus psittacus"
"Common seabream","Pagrus pagrus"
"Common silver-biddy","Gerres oyena"
"Common snook","Centropomus undecimalis"
"Common sole","Solea solea"
"Common stingray","Dasyatis pastinaca"
"Common two-banded seabream","Diplodus vulgaris"
"Common warehou","Seriolella brama"
"Common whitefish","Coregonus lavaretus"
"Coney","Cephalopholis fulva"
"Congo dentex","Dentex congoensis"
"Convict surgeonfish","Acanthurus triostegus"
"Copper shark","Carcharhinus brachyurus"
"Coral hind","Cephalopholis miniata"
"Corkwing wrasse","Symphodus melops"
"Cornet fish","Fistularia tabacaria"
"Corvina","Cilus gilberti"
"Creole-fish","Paranthias furcifer"
"Crevalle jack","Caranx hippos"
"Crimson jobfish","Pristipomoides filamentosus"
"Cryodraco antarcticus","Cryodraco antarcticus"
"Cuckoo ray","Leucoraja naevus"
"Cunene horse mackerel","Trachurus trecae"
"Cunner","Tautogolabrus adspersus"
"Curlfin sole","Pleuronichthys decurrens"
"Dab","Limanda limanda"
"Daggertooth pike conger","Muraenesox cinereus"
"Daisy parrotfish","Chlorurus sordidus"
"Damselfish","Chromis chromis"
"Dark ghost shark","Hydrolagus novaezealandiae"
"Dark-banded fusilier","Pterocaesio tile"
"Dark-belly skate","Bathyraja meridionalis"
"Darkcapped parrotfish","Scarus oviceps"
"Darkfin hind","Cephalopholis urodeta"
"Dash-and-dot goatfish","Parupeneus barberinus"
"Deepwater redfish","Sebastes mentella"
"Derbio","Trachinotus ovatus"
"Devil fish","Mobula mobular"
"Dogtooth tuna","Gymnosarda unicolor"
"Dolly varden","Salvelinus malma malma"
"Dorab wolf-herring","Chirocentrus dorab"
"Doublebar goatfish","Parupeneus trifasciatus"
"Double-lined mackerel","Grammatorcynus bilineatus"
"Doublespotted queenfish","Scomberoides lysan"
"Dover sole","Microstomus pacificus"
"Dungat grouper","Epinephelus goreensis"
"Dusky grouper","Epinephelus marginatus"
"Dusky shark","Carcharhinus obscurus"
"East Atlantic red gurnard","Aspitrigla cuculus"
"Eastern Australian salmon","Arripis trutta"
"Eastern Pacific bonito","Sarda chiliensis chiliensis"
"Eatons skate","Bathyraja eatonii"
"Elongate ilisha","Ilisha elongata"
"Ember parrotfish","Scarus rubroviolaceus"
"English sole","Parophrys vetulus"
"Epaulette surgeonfish","Acanthurus nigricauda"
"Escolar","Lepidocybium flavobrunneum"
"Eulachon","Thaleichthys pacificus"
"European anchovy","Engraulis encrasicolus"
"European conger","Conger conger"
"European hake","Merluccius merluccius"
"European pilchard","Sardina pilchardus"
"European plaice","Pleuronectes platessa"
"European seabass","Dicentrarchus labrax"
"European smelt","Osmerus eperlanus"
"European sprat","Sprattus sprattus"
"Eyestripe surgeonfish","Acanthurus dussumieri"
"Falkland sprat","Sprattus fuegensis"
"False scad","Caranx rhonchus"
"False trevally","Lactarius lactarius"
"Feathered river-garfish","Zenarchopterus dispar"
"Filament-finned parrotfish","Scarus altipinnis"
"Finstripe goatfish","Upeneus taeniopterus"
"Fivebeard rockling","Ciliata mustela"
"Five-lined snapper","Lutjanus quinquelineatus"
"Flame snapper","Etelis coruscans"
"Flat needlefish","Ablennes hians"
"Flathead mullet","Mugil cephalus"
"Flathead sole","Hippoglossoides elassodon"
"Floral wrasse","Cheilinus chlorourus"
"Florida pompano","Trachinotus carolinus"
"Flounder","Platichthys flesus"
"Flowery flounder","Bothus mancus"
"Forkbeard","Phycis phycis"
"Forstens parrotfish","Scarus forsteni"
"Fourbeard rockling","Enchelyopus cimbrius"
"Fourfinger threadfin","Eleutheronema tetradactylum"
"Fourhorn sculpin","Triglopsis quadricornis"
"Fourlined terapon","Pelates quadrilineatus"
"Fourspotted megrim","Lepidorhombus boscii"
"Frigate tuna","Auxis thazard thazard"
"Gag","Mycteroperca microlepis"
"Garpike","Belone belone"
"Gaudy notothen","Lepidonotothen nudifrons"
"Geelbeck croaker","Atractoscion aequidens"
"Ghost shark","Callorhinchus milii"
"Giant African threadfin","Polydactylus quadrifilis"
"Giant boarfish","Paristiopterus labiosus"
"Giant grouper","Epinephelus lanceolatus"
"Giant guitarfish","Rhynchobatus djiddensis"
"Giant sea-bass","Stereolepis gigas"
"Giant seacatfish","Arius thalassinus"
"Giant stargazer","Kathetostoma giganteum"
"Giant trevally","Caranx ignobilis"
"Gilthead seabream","Sparus aurata"
"Glasseye","Heteropriacanthus cruentatus"
"Globehead parrotfish","Scarus globiceps"
"Goldbanded jobfish","Pristipomoides multidens"
"Golden eye jobfish","Pristipomoides flavipinnis"
"Golden grey mullet","Liza aurata"
"Golden threadfin bream","Nemipterus virgatus"
"Golden trevally","Gnathanodon speciosus"
"Goldflag jobfish","Pristipomoides auricilla"
"Goldsaddle goatfish","Parupeneus cyclostomus"
"Goldsinny-wrasse","Ctenolabrus rupestris"
"Goldspotted spinefoot","Siganus punctatus"
"Goldstripe sardinella","Sardinella gibbosa"
"Gray weakfish","Cynoscion regalis"
"Greasy grouper","Epinephelus tauvina"
"Great barracuda","Sphyraena barracuda"
"Great northern tilefish","Lopholatilus chamaeleonticeps"
"Great white shark","Carcharodon carcharias"
"Greater amberjack","Seriola dumerili"
"Greater argentine","Argentina silus"
"Greater forkbeard","Phycis blennoides"
"Greater lizardfish","Saurida tumbil"
"Greater weever","Trachinus draco"
"Green humphead parrotfish","Bolbometopon muricatum"
"Green jobfish","Aprion virescens"
"Greenback horse mackerel","Trachurus declivis"
"Greenland cod","Gadus ogac"
"Greenland halibut","Reinhardtius hippoglossoides"
"Greenland shark","Somniosus microcephalus"
"Grenadier cod","Tripterophycis gilchristi"
"Grey gurnard","Eutrigla gurnardus"
"Grey rockcod","Lepidonotothen squamifrons"
"Grey sea chub","Kyphosus bigibbus"
"Grey snapper","Lutjanus griseus"
"Grey triggerfish","Balistes capriscus"
"Greyfin croaker","Pennahia anea"
"Guinean striped mojarra","Gerres nigri"
"Gulf kingcroaker","Menticirrhus littoralis"
"Gulf menhaden","Brevoortia patronus"
"Gulf parrotfish","Scarus persicus"
"Gulper shark","Centrophorus granulosus"
"Haddock","Melanogrammus aeglefinus"
"Haffara seabream","Rhabdosargus haffara"
"Hagfish","Myxine glutinosa"
"Hapuka","Polyprion oxygeneios"
"Harvestfish","Peprilus alepidotus"
"Hectors lanternfish","Lampanyctodes hectoris"
"Hickory shad","Alosa mediocris"
"Hilsa shad","Tenualosa ilisha"
"Honeycomb grouper","Epinephelus merra"
"Hound needlefish","Tylosurus crocodilus crocodilus"
"Houting","Coregonus oxyrinchus"
"Humpback grouper","Cromileptes altivelis"
"Humpback red snapper","Lutjanus gibbus"
"Humped rockcod","Gobionotothen gibberifrons"
"Humphead wrasse","Cheilinus undulatus"
"Humpnose big-eye bream","Monotaxis grandoculis"
"Imperial blackfish","Schedophilus ovalis"
"Inca scad","Trachurus murphyi"
"Inconnu","Stenodus leucichthys"
"Indian ariomma","Ariomma indica"
"Indian goatfish","Parupeneus indicus"
"Indian mackerel","Rastrelliger kanagurta"
"Indian oil sardine","Sardinella longiceps"
"Indian pellona","Pellona ditchela"
"Indian pompano","Trachinotus mookalee"
"Indian scad","Decapterus russelli"
"Indian spiny turbot","Psettodes erumei"
"Indo-Pacific blue marlin","Makaira mazara"
"Indo-Pacific king mackerel","Scomberomorus guttatus"
"Indo-Pacific sailfish","Istiophorus platypterus"
"Indo-Pacific sergeant","Abudefduf vaigiensis"
"Indo-Pacific tarpon","Megalops cyprinoides"
"Intermediate scabbardfish","Aphanopus intermedius"
"Island trevally","Carangoides orthogrammus"
"Japanese anchovy","Engraulis japonicus"
"Japanese flyingfish","Cheilopogon agoo"
"Japanese halfbeak","Hyporhamphus sajori"
"Japanese jack mackerel","Trachurus japonicus"
"Japanese sardinella","Sardinella zunasi"
"Japanese scad","Decapterus maruadsi"
"Japanese seaperch","Lateolabrax japonicus"
"Japanese Spanish mackerel","Scomberomorus niphonius"
"Japanese splitfin","Synagrops japonicus"
"Japanese threadfin bream","Nemipterus japonicus"
"Jarbua terapon","Terapon jarbua"
"Javelin grunter","Pomadasys kaakan"
"John dory","Zeus faber"
"Johns snapper","Lutjanus johnii"
"Jolthead porgy","Calamus bajonado"
"Kamchatka flounder","Atheresthes evermanni"
"Kanda","Valamugil engeli"
"Karenteen seabream","Crenidens crenidens"
"Kawakawa","Euthynnus affinis"
"Kelee shad","Hilsa kelee"
"Kerguelen sandpaper skate","Bathyraja irrasa"
"King dory","Cyttus traversi"
"King mackerel","Scomberomorus cavalla"
"King of herrings","Regalecus glesne"
"King soldierbream","Argyrops spinifer"
"King weakfish","Macrodon ancylodon"
"Kingklip","Genypterus capensis"
"Kitefin shark","Dalatias licha"
"Klunzingers mullet","Liza klunzingeri"
"Knifetooth dogfish","Scymnodon ringens"
"Konoshiro gizzard shad","Konosirus punctatus"
"Korean sandeel","Hypoptychus dybowskii"
"Ladyfish","Elops saurus"
"Lane snapper","Lutjanus synagris"
"Large yellow croaker","Larimichthys crocea"
"Large-eye dentex","Dentex macrophthalmus"
"Large-eyed rabbitfish","Hydrolagus mirabilis"
"Largehead hairtail","Trichiurus lepturus"
"Large-scaled gurnard","Lepidotrigla cavillone"
"Largescaled scorpionfish","Scorpaena scrofa"
"Latchet","Pterygotrigla polyommata"
"Lattice soldierfish","Myripristis violacea"
"Law croaker","Pseudotolithus senegallus"
"Leafscale gulper shark","Centrophorus squamosus"
"Leaping mullet","Liza saliens"
"Leerfish","Lichia amia"
"Lemon sole","Microstomus kitt"
"Leopard coralgrouper","Plectropomus leopardus"
"Leopard flounder","Bothus pantherinus"
"Lepidonotothen larseni","Lepidonotothen larseni"
"Lesser African threadfin","Galeoides decadactylus"
"Lined surgeonfish","Acanthurus lineatus"
"Ling","Molva molva"
"Lingcod","Ophiodon elongatus"
"Little skate","Leucoraja erinacea"
"Little sleeper shark","Somniosus rostratus"
"Little spinefoot","Siganus spinus"
"Little tunny","Euthynnus alletteratus"
"Littlemouth flounder","Pseudopleuronectes herzensteini"
"Liza","Mugil liza"
"Longbill spearfish","Tetrapturus pfluegeri"
"Longface emperor","Lethrinus olivaceus"
"Longfin armorhead","Pseudopentaceros pectoralis"
"Longfin bonefish","Pterothrissus belloci"
"Longfin codling","Laemonema longipes"
"Longfin kob","Atrobucca nibe"
"Longfin mako","Isurus paucus"
"Longnose velvet dogfish","Centroselachus crepidater"
"Longnosed skate","Dipturus oxyrinchus"
"Longspine snipefish","Macroramphosus scolopax"
"Longtail tuna","Thunnus tonggol"
"Lowfin gulper shark","Centrophorus lusitanicus"
"Luderick","Girella tricuspidata"
"Lumpsucker","Cyclopterus lumpus"
"Lusitanian toadfish","Halobatrachus didactylus"
"Mackerel icefish","Champsocephalus gunnari"
"Mackerel scad","Decapterus macarellus"
"Madeiran sardinella","Sardinella maderensis"
"Malabar blood snapper","Lutjanus malabaricus"
"Malabar trevally","Carangoides malabaricus"
"Mangrove red snapper","Lutjanus argentimaculatus"
"Manybar goatfish","Parupeneus multifasciatus"
"Marbled rockcod","Notothenia rossii"
"Marrs fusilier","Pterocaesio marri"
"McCains skate","Bathyraja maccaini"
"Meagre","Argyrosomus regius"
"Mediterranean horse mackerel","Trachurus mediterraneus"
"Mediterranean moray","Muraena helena"
"Mediterranean slimehead","Hoplostethus mediterraneus mediterraneus"
"Megrim","Lepidorhombus whiffiagonis"
"Melon seed","Psenopsis anomala"
"Mi-iuy croaker","Miichthys miiuy"
"Minstrel sweetlip","Plectorhinchus schotaf"
"Mirror dory","Zenopsis nebulosa"
"Misty grouper","Epinephelus mystacinus"
"Moonfish","Mene maculata"
"Morocco dentex","Dentex maroccanus"
"Mud sole","Austroglossus pectoralis"
"Muksun","Coregonus muksun"
"Murrays skate","Bathyraja murrayi"
"Mutton snapper","Lutjanus analis"
"Narrow-barred Spanish mackerel","Scomberomorus commerson"
"Narrownose smooth-hound","Mustelus schmitti"
"Naso caesius","Naso caesius"
"Nassau grouper","Epinephelus striatus"
"Navaga","Eleginus nawaga"
"Needlescaled queenfish","Scomberoides tol"
"Nibe croaker","Nibea mitsukurii"
"Normans camote","Normanichthys crockeri"
"North Pacific hake","Merluccius productus"
"Northern kingcroaker","Menticirrhus saxatilis"
"Northern puffer","Sphoeroides maculatus"
"Northern red snapper","Lutjanus campechanus"
"Northern wolffish","Anarhichas denticulatus"
"Norway pout","Trisopterus esmarkii"
"Norway redfish","Sebastes viviparus"
"Nurse shark","Ginglymostoma cirratum"
"Nursehound","Scyliorhinus stellaris"
"Oblique-banded snapper","Pristipomoides zonatus"
"Obtuse barracuda","Sphyraena obtusata"
"Ocean perch","Sebastes marinus"
"Ocean pout","Zoarces americanus"
"Ocean sunfish","Mola mola"
"Ocean whitefish","Caulolatilus princeps"
"Oceanic whitetip shark","Carcharhinus longimanus"
"Ocellated icefish","Chionodraco rastrospinosus"
"Offshore rockfish","Pontinus kuhlii"
"Oilfish","Ruvettus pretiosus"
"Okhostk atka mackerel","Pleurogrammus azonus"
"Onespot snapper","Lutjanus monostigma"
"Onion-eye grenadier","Macrourus berglax"
"Opah","Lampris guttatus"
"Opaleye","Girella nigricans"
"Orange perch","Lepidoperca pulchella"
"Orange roughy","Hoplostethus atlanticus"
"Orangespine unicornfish","Naso lituratus"
"Orangespot surgeonfish","Acanthurus olivaceus"
"Orange-spotted grouper","Epinephelus coioides"
"Orangespotted trevally","Carangoides bajad"
"Orange-striped emperor","Lethrinus obsoletus"
"Oriental sweetlips","Plectorhinchus orientalis"
"Ornate jobfish","Pristipomoides argyrogrammicus"
"Ornate wrasse","Thalassoma pavo"
"Pacific anchoveta","Cetengraulis mysticetus"
"Pacific bluefin tuna","Thunnus orientalis"
"Pacific bonito","Sarda chiliensis lineolata"
"Pacific bumper","Chloroscombrus orqueta"
"Pacific cod","Gadus macrocephalus"
"Pacific cornetfish","Fistularia corneta"
"Pacific guitarfish","Rhinobatos planiceps"
"Pacific halibut","Hippoglossus stenolepis"
"Pacific herring","Clupea pallasii pallasii"
"Pacific jack mackerel","Trachurus symmetricus"
"Pacific longnose parrotfish","Hipposcarus longiceps"
"Pacific menhaden","Ethmidium maculatum"
"Pacific ocean perch","Sebastes alutus"
"Pacific pompano","Peprilus simillimus"
"Pacific sanddab","Citharichthys sordidus"
"Pacific sandeel","Ammodytes personatus"
"Pacific saury","Cololabis saira"
"Pacific sierra","Scomberomorus sierra"
"Pacific thread herring","Opisthonema libertate"
"Pacific tomcod","Microgadus proximus"
"Pacific yellowtail emperor","Lethrinus atkinsoni"
"Painted sweetlip","Plectorhinchus picus"
"Painted sweetlips","Diagramma pictum"
"Panama hake","Merluccius angustimanus"
"Panga seabream","Pterogymnus laniarius"
"Parona leatherjacket","Parona signata"
"Patagonian blennie","Eleginops maclovinus"
"Patagonian grenadier","Macruronus magellanicus"
"Patagonian rockcod","Patagonotothen brevicauda brevicauda"
"Patagonian toothfish","Dissostichus eleginoides"
"Peacock hind","Cephalopholis argus"
"Pear puffer","Takifugu vermicularis"
"Pearlsides","Maurolicus muelleri"
"Pelagic armorhead","Pseudopentaceros richardsoni"
"Pemarco blackfish","Schedophilus pemarco"
"Peruvian banded croaker","Paralonchurus peruanus"
"Peruvian hake","Merluccius gayi peruanus"
"Peruvian morwong","Cheilodactylus variegatus"
"Peruvian rock seabass","Paralabrax humeralis"
"Peruvian weakfish","Cynoscion analis"
"Petrale sole","Eopsetta jordani"
"Picarel","Spicara smaris"
"Pickhandle barracuda","Sphyraena jello"
"Picnic seabream","Acanthopagrus berda"
"Pigfish","Orthopristis chrysoptera"
"Piked dogfish","Squalus acanthias"
"Pinecone soldierfish","Myripristis murdjan"
"Pink cusk-eel","Genypterus blacodes"
"Pink ear emperor","Lethrinus lentjan"
"Pink salmon","Oncorhynchus gorbuscha"
"Piper gurnard","Trigla lyra"
"Plain bonito","Orcynopsis unicolor"
"Pogonophryne permitini","Pogonophryne permitini"
"Polar cod","Boreogadus saida"
"Pollack","Pollachius pollachius"
"Pontic shad","Alosa immaculata"
"Poor cod","Trisopterus minutus"
"Porbeagle","Lamna nasus"
"Portuguese dogfish","Centroscymnus coelolepis"
"Pouting","Trisopterus luscus"
"Pudgy cuskeel","Spectrunculus grandis"
"Queen snapper","Etelis oculatus"
"Rabbit fish","Chimaera monstrosa"
"Rainbow runner","Elagatis bipinnulata"
"Rainbow sardine","Dussumieria acuta"
"Rainbow trout","Oncorhynchus mykiss"
"Ramsay's icefish","Patagonotothen ramsayi"
"Randalls threadfin bream","Nemipterus randalli"
"Red bandfish","Cepola macrophthalma"
"Red bigeye","Priacanthus macracanthus"
"Red codling","Pseudophycis bachus"
"Red cusk-eel","Genypterus chilensis"
"Red drum","Sciaenops ocellatus"
"Red grouper","Epinephelus morio"
"Red hake","Urophycis chuss"
"Red hind","Epinephelus guttatus"
"Red mullet","Mullus barbatus barbatus"
"Red pandora","Pagellus bellottii"
"Red steenbras","Petrus rupestris"
"Red stingray","Dasyatis akajei"
"Redbait","Emmelichthys nitidus nitidus"
"Redbanded seabream","Pagrus auriga"
"Redear herring","Harengula humeralis"
"Redfish","Centroberyx affinis"
"Redmouth grouper","Aethaloperca rogaa"
"Rex sole","Glyptocephalus zachirus"
"Ringtail maori wrasse","Oxycheilinus unifasciatus"
