 total number of assessments in srDB 
-------------------------------------
                                 231
(1 row)

 total number of assessments in srDB excluding RAM original data 
-----------------------------------------------------------------
                                                             179
(1 row)

  recorder   | total number of assessments in srDB 
-------------+-------------------------------------
 MYERS       |                                  52
 MINTO       |                                  37
 JENNINGS    |                                  27
 JENSEN      |                                  21
 PREFONTAINE |                                  21
 BRANCH      |                                  17
 FULTON      |                                  15
 COLLIE      |                                  12
 BAUM        |                                   7
 Parma       |                                   6
 PRÉFONTAINE |                                   3
 de Moor     |                                   2
 FRANCIS     |                                   2
 Johnston    |                                   2
 WORM        |                                   2
 GILROY      |                                   1
 HUTCHINGS   |                                   1
 LEGAULT     |                                   1
 TERCEIRO    |                                   1
 WIGLEY      |                                   1
(20 rows)

  recorder   | total number of assessments with time-series data in srDB 
-------------+-----------------------------------------------------------
 MYERS       |                                                        52
 MINTO       |                                                        37
 JENNINGS    |                                                        27
 PREFONTAINE |                                                        21
 JENSEN      |                                                        21
 BRANCH      |                                                        17
 FULTON      |                                                        15
 COLLIE      |                                                        12
 BAUM        |                                                         7
 Parma       |                                                         6
 WORM        |                                                         2
 FRANCIS     |                                                         2
 de Moor     |                                                         2
 Johnston    |                                                         2
 PRÉFONTAINE |                                                         2
 HUTCHINGS   |                                                         1
 LEGAULT     |                                                         1
 WIGLEY      |                                                         1
 TERCEIRO    |                                                         1
 GILROY      |                                                         1
(20 rows)

  recorder   | total number of assessments with biometrics data in srDB 
-------------+----------------------------------------------------------
 MINTO       |                                                       37
 JENNINGS    |                                                       27
 PREFONTAINE |                                                       21
 JENSEN      |                                                       20
 BRANCH      |                                                       17
 FULTON      |                                                       15
 COLLIE      |                                                        7
 BAUM        |                                                        7
 Parma       |                                                        6
 FRANCIS     |                                                        2
 WORM        |                                                        2
 de Moor     |                                                        2
 Johnston    |                                                        2
 PRÉFONTAINE |                                                        2
 HUTCHINGS   |                                                        1
 LEGAULT     |                                                        1
 WIGLEY      |                                                        1
 TERCEIRO    |                                                        1
 GILROY      |                                                        1
(19 rows)

  recorder   |                         stocklong                         |        scientificname         |      stockid      
 MINTO       | Herring ICES VIa                                          | Clupea harengus               | HERRVIa
 MINTO       | Herring ICES VIa-VIIb-VIIc                                | Clupea harengus               | HERRVIaVIIbc
 MINTO       | Norway pout North Sea                                     | Trisopterus esmarkii          | NPOUTNS
 MINTO       | European Plaice ICES VIId                                 | Pleuronectes platessa         | PLAIC7d
 MINTO       | European Plaice ICES IIIa                                 | Pleuronectes platessa         | PLAICIIIa
 MINTO       | European Plaice Irish Sea                                 | Pleuronectes platessa         | PLAICIS
 MINTO       | European Plaice North Sea                                 | Pleuronectes platessa         | PLAICNS
 MINTO       | Pollock Faroe Plateau                                     | Pollachius virens             | POLLFAPL
 MINTO       | Pollock Northeast Arctic                                  | Pollachius virens             | POLLNEAR
 MINTO       | Haddock ICES IIIa, VI and North Sea                       | Pollachius virens             | POLLNS-VI-IIIa
 MINTO       | Deepwater Redfish Northeast Arctic                        | Sebastes mentella             | REDDEEPI_II
 MINTO       | Sandeel North Sea                                         | Ammodytes marinus             | SEELNS
 MINTO       | common European sole Irish Sea                            | Solea vulgaris                | SOLEIS
 MINTO       | common European sole North Sea                            | Solea vulgaris                | SOLENS
 MINTO       | common European sole ICES VIId                            | Solea vulgaris                | SOLEVIId
 MINTO       | Sprat North Sea                                           | Sprattus sprattus             | SPRATNS
 MINTO       | Whiting ICES IIIa, VIId and North Sea                     | Merlangius merlangus          | WHITNS-VIId-IIIa
 MINTO       | Whiting ICES VIa                                          | Merlangius merlangus          | WHITVIa
 MYERS       | American Plaice NAFO-3LNO                                 | Hippoglossoides platessoides  | AMPL3LNO
 MYERS       | Capelin Iceland                                           | Mallotus villosus             | CAPEICE
 MYERS       | Atlantic cod West Greenland (NAFO 1)                      | Gadus morhua                  | COD1
 MYERS       | Atlantic cod NAFO 2J3KL                                   | Gadus morhua                  | COD2J3KL
 MYERS       | Atlantic cod NAFO 3NO                                     | Gadus morhua                  | COD3NO
 MYERS       | Atlantic cod NAFO 3Ps                                     | Gadus morhua                  | COD3Ps
 MYERS       | Atlantic cod NAFO 4VsW                                    | Gadus morhua                  | COD4VsW
 MYERS       | Atlantic cod NAFO 4X                                      | Gadus morhua                  | COD4X
 MYERS       | Atlantic cod NAFO 5Z                                      | Gadus morhua                  | COD5Z
 MYERS       | Atlantic cod Baltic Areas 25-32                           | Gadus morhua                  | CODBA2532
 MYERS       | Atlantic cod coastal Norway                               | Gadus morhua                  | CODCOASTNOR
 MYERS       | Atlantic cod Faroe Plateau                                | Gadus morhua                  | CODFAPL
 MYERS       | Atlantic cod Iceland                                      | Gadus morhua                  | CODICE
 MYERS       | Atlantic cod Kattegat                                     | Gadus morhua                  | CODKAT
 MYERS       | Atlantic cod Northeast Arctic                             | Gadus morhua                  | CODNEAR
 MYERS       | Atlantic cod North Sea                                    | Gadus morhua                  | CODNS
 MYERS       | Atlantic cod West of Scotland                             | Gadus morhua                  | CODVIa
 MYERS       | Atlantic cod ICES VIId                                    | Gadus morhua                  | CODVIId
 MYERS       | Greenland halibut Northeast Arctic                        | Reinhardtius hippoglossoides  | GHALNEAR
 MYERS       | Haddock NAFO-4X                                           | Melanogrammus aeglefinus      | HAD4X
 MYERS       | Haddock Faroe Plateau                                     | Melanogrammus aeglefinus      | HADFAPL
 MYERS       | Haddock Iceland                                           | Melanogrammus aeglefinus      | HADICE
 MYERS       | Haddock Irish Sea                                         | Melanogrammus aeglefinus      | HADIS
 MYERS       | Haddock Northeast Arctic                                  | Melanogrammus aeglefinus      | HADNEAR
 MYERS       | Haddock Rockall Bank                                      | Melanogrammus aeglefinus      | HADROCK
 MYERS       | Haddock West of Scotland                                  | Melanogrammus aeglefinus      | HADVIa
 MYERS       | Herring Iceland (Summer spawners)                         | Clupea harengus               | HERRIsum
 MYERS       | Herring Northern Irish Sea                                | Clupea harengus               | HERRNIRS
 MYERS       | Herring North Sea                                         | Clupea harengus               | HERRNS
 MYERS       | Herring ICES VIa-VIIb-VIIc                                | Clupea harengus               | HERRVIaVIIbc
 MYERS       | Mackerel ICES Northeast Atlantic                          | Scomber scombrus              | MACKNEICES
 MYERS       | Norway pout North Sea                                     | Trisopterus esmarkii          | NPOUTNS
 MYERS       | Pacific cod Gulf of Alaska                                | Gadus macrocephalus           | PCODGA
 MYERS       | Pacific cod Hecate Strait                                 | Gadus macrocephalus           | PCODHS
 MYERS       | European Plaice ICES VIId                                 | Pleuronectes platessa         | PLAIC7d
 MYERS       | European Plaice ICES IIIa                                 | Pleuronectes platessa         | PLAICIIIa
 MYERS       | European Plaice Irish Sea                                 | Pleuronectes platessa         | PLAICIS
 MYERS       | European Plaice North Sea                                 | Pleuronectes platessa         | PLAICNS
 MYERS       | Pollock Northeast Arctic                                  | Pollachius virens             | POLLNEAR
 MYERS       | Sandeel Northern North Sea                                | Ammodytes marinus             | SEELNNS
 MYERS       | Sandeel Southern North Sea                                | Ammodytes marinus             | SEELSNS
 MYERS       | common European sole Celtic Sea                           | Solea vulgaris                | SOLECS
 MYERS       | common European sole ICES Kattegat and Skagerrak          | Solea vulgaris                | SOLEIIIa
 MYERS       | common European sole Irish Sea                            | Solea vulgaris                | SOLEIS
 MYERS       | common European sole North Sea                            | Solea vulgaris                | SOLENS
 MYERS       | common European sole ICES VIId                            | Solea vulgaris                | SOLEVIId
 MYERS       | common European sole Western English Channel              | Solea vulgaris                | SOLEVIIe
 MYERS       | Sprat ICES Baltic Areas 22-32                             | Sprattus sprattus             | SPRAT22-32
 MYERS       | Whiting Western Black Sea                                 | Merlangius merlangus          | WHITBLACKW
 MYERS       | Whiting ICES VIa                                          | Merlangius merlangus          | WHITVIa
 MYERS       | Yellowtail Flounder NAFO 3LNO                             | Limanda ferruginea            | YELL3LNO
 MYERS       | Yellowtail Flounder NAFO-5Z                               | Limanda ferruginea            | YELL5Z
 Parma       | Argentine anchoita Northern Argentina                     | Engraulis anchoita            | ARGANCHONARG
 Parma       | Argentine anchoita Southern Argentina                     | Engraulis anchoita            | ARGANCHOSARG
 Parma       | Argentine hake Northern Argentina                         | Merluccius hubbsi             | ARGHAKENARG
 Parma       | Argentine hake Southern Argentina                         | Merluccius hubbsi             | ARGHAKESARG
 Parma       | Patagonian grenadier Southern Argentina                   | Macruronus magellanicus       | PATGRENADIERSARG
 Parma       | Southern blue whiting Southern Argentina                  | Micromesistius australis      | SBWHITARGS
 PREFONTAINE | American Plaice NAFO-23K                                  | Hippoglossoides platessoides  | AMPL23K
 PREFONTAINE | American Plaice NAFO-3LNO                                 | Hippoglossoides platessoides  | AMPL3LNO
 PREFONTAINE | American Plaice NAFO-3M                                   | Hippoglossoides platessoides  | AMPL3M
 PREFONTAINE | American Plaice NAFO-3Ps                                  | Hippoglossoides platessoides  | AMPL3Ps
 PREFONTAINE | Atlantic cod NAFO 2J3KL inshore                           | Gadus morhua                  | COD2J3KLIS
 PREFONTAINE | Atlantic cod NAFO 3NO                                     | Gadus morhua                  | COD3NO
 PREFONTAINE | Atlantic cod NAFO 3Pn4RS                                  | Gadus morhua                  | COD3Pn4RS
 PREFONTAINE | Atlantic cod NAFO 3Ps                                     | Gadus morhua                  | COD3Ps
 PREFONTAINE | Atlantic cod NAFO 4TVn                                    | Gadus morhua                  | COD4TVn
 PREFONTAINE | Atlantic cod NAFO 4VsW                                    | Gadus morhua                  | COD4VsW
 PREFONTAINE | Atlantic cod NAFO 5Zjm                                    | Gadus morhua                  | COD5Zjm
 PREFONTAINE | Greenland halibut NAFO 01ABCDEF                           | Reinhardtius hippoglossoides  | GHAL01ABCDEF
 PREFONTAINE | Greenland halibut NAFO 23KLMNO                            | Reinhardtius hippoglossoides  | GHAL23KLMNO
 PREFONTAINE | Greenland halibut NAFO 4RST                               | Reinhardtius hippoglossoides  | GHAL4RST
 PREFONTAINE | Haddock NAFO-4X5Y                                         | Melanogrammus aeglefinus      | HAD4X5Y
 PREFONTAINE | Haddock NAFO-5Zejm                                        | Melanogrammus aeglefinus      | HAD5Zejm
 PREFONTAINE | Herring NAFO 4R fall spawners                             | Clupea harengus               | HERR4RFA
 PREFONTAINE | Herring NAFO 4R spring spawners                           | Clupea harengus               | HERR4RSP
 PREFONTAINE | Herring Scotian Shelf and Bay of Fundy                    | Clupea harengus               | HERR4VWX
 PREFONTAINE | Monkfish Labrador Shelf - Grand Banks - St. Pierre Bank   | Lophius americanus            | MONK2J3KLNOPs
 PREFONTAINE | Pollock NAFO-4VWX5Zc                                      | Pollachius virens             | POLL4VWX5Zc
 PRÉFONTAINE | Barndoor skate Canadian Atlantic Ocean                    | Dipturus laevis               | BSKATCANATL
 PRÉFONTAINE | Herring NAFO 4T fall spawners                             | Clupea harengus               | HERR4TFA
 PRÉFONTAINE | Herring NAFO 4T spring spawners                           | Clupea harengus               | HERR4TSP
 TERCEIRO    | Winter Flounder Southern New England-Mid Atlantic         | Pseudopleuronectes americanus | WINFLOUNSNEMATL
 WIGLEY      | Ocean pout Northwestern Atlantic Coast                    | Zoarces americanus            | OPOUTNWATLC
 WORM        | Albacore tuna North Atlantic                              | Thunnus alalunga              | ALBANATL
 WORM        | Bluefin tuna Western Atlantic                             | Thunnus thynnus               | ATBTUNAWATL
(231 rows)

     ordername     | count 
-------------------+-------
 Beryciformes      |     3
 Clupeiformes      |    34
 Decapoda          |     5
 Gadiformes        |    81
 Lophiiformes      |     1
 Ophidiiformes     |     2
 Osmeriformes      |     3
 Perciformes       |    35
 Pleuronectiformes |    47
 Rajiformes        |     2
 Scorpaeniformes   |    17
 Tetraodontiformes |     1
(12 rows)

      family      | count 
------------------+-------
 Ammodytidae      |     3
 Anoplopomatidae  |     1
 Balistidae       |     1
 Berycidae        |     1
 Carangidae       |     3
 Centrolophidae   |     3
 Cheilodactylidae |     1
 Clupeidae        |    30
 Engraulidae      |     4
 Gadidae          |    73
 Gempylidae       |     1
 Labridae         |     1
 Lophiidae        |     1
 Lutjanidae       |     3
 Menippidae       |     1
 Merlucciidae     |     8
 Nephropidae      |     1
 Ophidiidae       |     2
 Osmeridae        |     3
 Palinuridae      |     1
 Paralichthyidae  |     1
 Penaeidae        |     2
 Platycephalidae  |     2
 Pleuronectidae   |    31
 Rajidae          |     2
 Scombridae       |    13
 Scophthalmidae   |     2
 Scorpaenidae     |    14
 Serranidae       |     3
 Sillaginidae     |     1
 Soleidae         |    13
 Sparidae         |     1
 Trachichthyidae  |     2
 Xiphiidae        |     1
 Zoarcidae        |     1
(35 rows)

      commonname1       |      family      |     ordername     |        scientificname         | count 
------------------------+------------------+-------------------+-------------------------------+-------
 Sand eel               | Ammodytidae      | Perciformes       | Ammodytes marinus             |     3
 Sablefish              | Anoplopomatidae  | Scorpaeniformes   | Anoplopoma fimbria            |     1
 Gray triggerfish       | Balistidae       | Tetraodontiformes | Balistes capriscus            |     1
 Bight redfish          | Berycidae        | Beryciformes      | Centroberyx gerrardi          |     1
 Greater amberjack      | Carangidae       | Perciformes       | Seriola dumerili              |     2
 Cape horse mackerel    | Carangidae       | Perciformes       | Trachurus capensis            |     1
 whario                 | Centrolophidae   | Perciformes       | Seriolella brama              |     2
 Silverfish             | Centrolophidae   | Perciformes       | Seriolella punctata           |     1
 Hawaiian morwong       | Cheilodactylidae | Perciformes       | Nemadactylus macropterus      |     1
 Gulf menhaden          | Clupeidae        | Clupeiformes      | Brevoortia patronus           |     1
 Herring                | Clupeidae        | Clupeiformes      | Clupea harengus               |    19
 Pacific herring        | Clupeidae        | Clupeiformes      | Clupea pallasii               |     5
 European pilchard      | Clupeidae        | Clupeiformes      | Sardina pilchardus            |     1
 Sardine                | Clupeidae        | Clupeiformes      | Sardinops sagax               |     1
 Sprat                  | Clupeidae        | Clupeiformes      | Sprattus sprattus             |     3
 Argentine anchoita     | Engraulidae      | Clupeiformes      | Engraulis anchoita            |     2
 Anchovy                | Engraulidae      | Clupeiformes      | Engraulis encrasicolus        |     2
 Pacific cod            | Gadidae          | Gadiformes        | Gadus macrocephalus           |     5
 Atlantic cod           | Gadidae          | Gadiformes        | Gadus morhua                  |    36
 Haddock                | Gadidae          | Gadiformes        | Melanogrammus aeglefinus      |    18
