Assessid,Stockid,Large Marine Ecosystem,Scientific name,Fisheries stock,Bmsy,Btype,Comment,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,Minimum
MARAM-ANCHOSA-1984-2006-deMoor,ANCHOSA,Benguela Current,Engraulis encrasicolus,Anchovy South Africa,1831850,Surplus production fit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.695,0.596,0.912,0.868,0.679,0.433,0.365,0.84,0.728,0.521,0.356,0.29,0.312,0.485,0.605,0.891,2.008,2.42,2.092,1.639,1.257,1.243,0.972,,,0.29
MARAM-CTRACSA-1950-2007-Johnston,CTRACSA,Benguela Current,Trachurus capensis,Cape horse mackerel South Africa South Coast,472474,Surplus production fit,,2.212,2.1,1.881,1.662,1.496,1.267,1.146,1.121,1.022,0.994,1.065,1.033,1.056,1.019,1.079,1.108,1.063,1.067,1.12,1.195,1.2,1.202,1.198,1.242,1.265,1.285,1.24,1.272,1.235,1.262,1.233,1.247,1.268,1.296,1.306,1.32,1.353,1.379,1.386,1.394,1.343,1.285,1.3,1.333,1.354,1.389,1.439,1.445,1.438,1.385,1.379,1.37,1.385,1.413,1.42,1.433,1.442,1.475,,0.994
MARAM-SARDSA-1984-2006-deMoor,SARDSA,Benguela Current,Sardinops sagax,Sardine South Africa,1860220,Surplus production fit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.064,0.083,0.087,0.148,0.123,0.165,0.218,0.21,0.259,0.333,0.384,0.642,0.652,1.083,1.094,1.107,1.012,1.618,2.036,2.934,1.705,1.004,0.753,,,0.064
MARAM-SSLOBSTERSASC-1973-2008-Johnston,SSLOBSTERSASC,Benguela Current,Palinurus gilchristi,Southern spiny lobster South Africa South Coast,904.628,Surplus production fit,,,,,,,,,,,,,,,,,,,,,,,,,1.893,1.467,1.462,1.258,1.139,1.13,1.262,1.255,1.167,1.111,1.024,1.03,1.014,0.997,0.965,0.922,0.868,0.798,0.72,0.681,0.659,0.646,0.605,0.599,0.606,0.575,0.587,0.632,0.711,0.709,0.704,0.656,0.606,0.556,0.526,0.515,0.515
NWFSC-ARFLOUNDPCOAST-1916-2007-BRANCH,ARFLOUNDPCOAST,California Current,Reinhardtius stomias,Arrowtooth flounder Pacific Coast,16593,SSB mt,Branch obtained from assessments,4.561,4.569,4.572,4.575,4.532,4.551,4.558,4.33,4.173,4.048,3.917,3.821,3.707,3.619,3.55,3.475,3.435,3.398,3.375,3.321,3.164,2.948,2.702,2.44,2.198,2.117,2.19,2.213,2.303,2.428,2.536,2.747,2.867,2.88,3.008,3.191,3.322,3.402,3.392,3.445,3.399,3.207,3.109,3.102,3.167,3.301,3.36,3.292,3.242,3.192,2.921,2.703,2.551,2.68,3.075,3.404,3.654,3.815,,2.117
NWFSC-BLACKROCKNPCOAST-1914-2006-BRANCH,BLACKROCKNPCOAST,California Current,Sebastes melanops,Black rockfish Northern Pacific Coast,5218,B mt (3+),Branch obtained from assessments,2.133,2.124,2.116,2.106,2.096,2.086,2.076,2.065,2.054,2.042,2.031,2.019,2.007,1.994,1.982,1.975,1.956,1.93,1.926,1.898,1.866,1.887,1.888,1.886,1.877,1.857,1.824,1.873,1.841,1.766,1.753,1.727,1.656,1.559,1.464,1.353,1.291,1.195,1.118,1.018,1.004,0.963,0.989,0.983,0.982,0.993,1.039,1.145,1.163,1.178,1.249,1.291,1.419,1.434,1.432,1.45,1.448,,,0.963
NWFSC-BLACKROCKSPCOAST-1915-2007-BRANCH,BLACKROCKSPCOAST,California Current,Sebastes melanops,Black rockfish Southern Pacific Coast,1444.6,SSB e06larvae,Branch obtained from assessments,2.932,2.93,2.923,2.925,2.925,2.919,2.913,2.914,2.912,2.901,2.891,2.881,2.883,2.883,2.875,2.875,2.866,2.862,2.855,2.845,2.823,2.794,2.775,2.746,2.722,2.692,2.684,2.663,2.637,2.587,2.481,2.367,2.193,2.011,1.853,1.709,1.56,1.46,1.385,1.326,1.276,1.242,1.207,1.144,1.127,1.117,1.13,1.166,1.231,1.332,1.472,1.644,1.787,1.91,1.969,2.056,2.146,2.233,,1.117
NWFSC-BLUEROCKCAL-1916-2007-BRANCH,BLUEROCKCAL,California Current,Sebastes mystinus,Blue rockfish California,831,SSB e06eggs,Branch obtained from assessments,2.351,2.331,2.307,2.29,2.277,2.261,2.243,2.22,2.2,2.158,2.126,2.108,2.099,2.088,2.079,2.084,2.085,2.095,2.114,2.116,2.124,2.108,2.094,2.043,1.925,1.773,1.615,1.481,1.356,1.249,1.105,0.994,0.81,0.649,0.501,0.41,0.333,0.333,0.323,0.309,0.308,0.316,0.331,0.274,0.247,0.247,0.274,0.316,0.348,0.389,0.432,0.483,0.538,0.596,0.646,0.702,0.744,0.748,,0.247
NWFSC-BOCACCSPCOAST-1951-2006-BRANCH,BOCACCSPCOAST,California Current,Sebastes paucispinis,Bocaccio Southern Pacific Coast,5429,SSB e09eggs,Branch obtained from assessments,,0.659,0.656,0.653,0.642,0.626,0.605,0.569,0.526,0.472,0.435,0.409,0.408,0.426,0.426,0.516,0.798,1.146,1.331,1.425,1.457,1.43,1.381,1.301,1.13,0.927,0.798,0.73,0.742,0.723,0.663,0.654,0.66,0.609,0.523,0.416,0.342,0.269,0.249,0.248,0.217,0.178,0.176,0.17,0.158,0.151,0.149,0.148,0.148,0.154,0.16,0.166,0.176,0.209,0.255,0.292,0.318,,,0.148
NWFSC-CROCKPCOAST-1916-2007-BRANCH,CROCKPCOAST,California Current,Sebastes pinniger,Canary rockfish Pacific Coast,12211,SSB mt,Branch obtained from assessments,2.065,2.033,2.004,1.977,1.955,1.927,1.898,1.869,1.82,1.772,1.73,1.689,1.659,1.63,1.607,1.604,1.593,1.514,1.495,1.461,1.448,1.431,1.41,1.386,1.334,1.309,1.285,1.277,1.247,1.185,1.116,1.03,0.965,0.836,0.728,0.711,0.682,0.664,0.613,0.562,0.502,0.46,0.404,0.362,0.344,0.365,0.396,0.421,0.45,0.477,0.521,0.585,0.648,0.705,0.756,0.798,0.834,0.863,,0.344
NWFSC-CHILISPCOAST-1892-2007-BRANCH,CHILISPCOAST,California Current,Sebastes goodei,Chilipepper Southern Pacific Coast,12126,SSB mt,Branch obtained from assessments,2.446,2.434,2.403,2.362,2.313,2.268,2.216,2.151,2.088,2.016,1.97,1.94,1.932,1.927,1.925,1.936,1.936,1.851,1.712,1.614,1.569,1.758,1.906,1.993,1.98,1.848,1.852,1.866,1.989,2.103,2.055,1.816,1.623,1.495,1.36,1.178,0.952,0.905,1.039,1.092,1.037,0.983,0.928,0.869,0.828,0.809,0.791,0.783,0.74,0.715,0.745,0.786,1.045,1.405,1.668,1.826,1.915,1.965,,0.715
NWFSC-COWCODSCAL-1900-2007-BRANCH,COWCODSCAL,California Current,Sebastes levis,Cowcod Southern California,995,SSB mt,Branch obtained from assessments,1.697,1.699,1.695,1.696,1.699,1.692,1.679,1.658,1.643,1.627,1.615,1.595,1.576,1.563,1.547,1.536,1.513,1.472,1.412,1.368,1.32,1.28,1.242,1.176,1.104,1.015,0.937,0.836,0.755,0.679,0.581,0.5,0.426,0.309,0.273,0.196,0.122,0.071,0.054,0.038,0.041,0.045,0.05,0.05,0.054,0.05,0.049,0.045,0.048,0.053,0.056,0.06,0.065,0.071,0.077,0.082,0.088,0.094,,0.038
NWFSC-DKROCKPCOAST-1928-2007-BRANCH,DKROCKPCOAST,California Current,Sebastes crameri,Darkblotched rockfish Pacific Coast,9376,SSBe08larvae,Branch obtained from assessments,3.17,3.151,3.127,3.111,3.095,3.079,3.065,3.046,3.026,3.008,2.992,2.974,2.963,2.946,2.924,2.914,2.884,2.476,2.188,1.97,1.968,1.971,1.963,1.945,1.908,1.881,1.872,1.863,1.884,1.892,1.843,1.831,1.774,1.692,1.618,1.515,1.383,1.32,1.154,1.043,0.951,0.81,0.709,0.664,0.587,0.547,0.511,0.471,0.417,0.349,0.339,0.344,0.38,0.434,0.497,0.558,0.641,0.731,,0.339
NWFSC-ESOLEPCOAST-1876-2007-BRANCH,ESOLEPCOAST,California Current,Parophrys vetulus,English sole Pacific Coast,6526,SSB mt,Branch obtained from assessments,2.016,1.471,1.199,1.128,1.256,1.42,1.53,1.52,1.456,1.406,1.567,2.089,2.086,2.041,2.043,2.514,2.836,2.712,2.48,2.23,2.291,2.749,2.652,2.58,2.564,2.655,2.612,2.386,2.393,2.319,2.149,2.14,1.88,1.605,1.448,1.411,1.372,1.397,1.414,1.433,1.298,1.348,1.243,1.28,1.357,1.465,1.492,1.537,1.689,2.036,2.453,3.083,4.068,5.141,5.905,6.287,6.465,6.422,,1.128
NWFSC-LNOSESKAPCOAST-1915-2007-BRANCH,LNOSESKAPCOAST,California Current,Raja rhina,Longnose skate Pacific Coast,2626,SSB mt,Branch obtained from assessments,2.377,2.378,2.384,2.388,2.366,2.37,2.346,2.346,2.349,2.351,2.347,2.352,2.301,2.281,2.257,2.234,2.232,2.224,2.217,2.189,2.181,2.189,2.208,2.222,2.237,2.252,2.264,2.251,2.236,2.196,2.151,2.131,2.014,1.946,1.903,1.897,1.879,1.872,1.863,1.874,1.885,1.903,1.927,1.96,1.984,1.997,2.022,1.997,1.916,1.897,1.85,1.791,1.766,1.779,1.758,1.771,1.771,1.765,,1.758
NWFSC-PHAKEPCOAST-1966-2008-BRANCH,PHAKEPCOAST,California Current,Merluccius productus,Pacific hake Pacific Coast,680000,SSB mt,Branch obtained from assessments,,,,,,,,,,,,,,,,,4.26,4.166,4.037,4.019,4.099,4.244,4.647,5.641,6.134,6.159,6.388,6.243,5.957,5.853,6.629,6.537,6.929,8.571,9.485,8.694,7.99,7.596,7.357,6.626,5.918,5.213,4.381,3.688,3.125,2.409,1.975,1.734,1.566,1.413,1.297,1.541,2.39,2.791,2.687,2.285,1.881,1.569,1.613,1.297
NWFSC-POPERCHPCOAST-1953-2007-BRANCH,POPERCHPCOAST,California Current,Sebastes alutus,Pacific ocean perch Pacific Coast,14793,SSB mt,Branch obtained from assessments,,,,,,,2.214,2.134,2.061,2.036,2.024,2.041,2.163,2.275,2.25,2.227,2.055,1.464,1.068,0.939,1.049,1.101,1.123,1.131,1.106,1.085,1.087,1.081,1.103,1.088,1.05,0.993,0.938,0.899,0.823,0.754,0.697,0.656,0.636,0.616,0.592,0.566,0.529,0.514,0.488,0.468,0.463,0.465,0.477,0.49,0.496,0.506,0.529,0.57,0.594,0.602,0.623,0.687,,0.463
NWFSC-SABLEFPCOAST-1900-2007-BRANCH,SABLEFPCOAST,California Current,Anoplopoma fimbria,Sablefish Pacific Coast,91559,SSB mt,Branch obtained from assessments,2.395,2.391,2.383,2.38,2.381,2.379,2.377,2.366,2.357,2.353,2.346,2.335,2.328,2.319,2.314,2.308,2.302,2.301,2.286,2.278,2.257,2.244,2.229,2.199,2.174,2.129,2.091,1.993,1.98,1.95,1.864,1.844,1.817,1.749,1.693,1.635,1.56,1.483,1.399,1.331,1.274,1.227,1.188,1.157,1.129,1.097,1.052,1.003,0.963,0.94,0.897,0.852,0.83,0.864,0.914,0.967,1.001,1.025,,0.83
NWFSC-WROCKPCOAST-1955-2006-BRANCH,WROCKPCOAST,California Current,Sebastes entomelas,Widow rockfish Pacific Coast,20298,SSB e06eggs,Branch obtained from assessments,,,,,,,,,2.339,2.339,2.34,2.341,2.344,2.349,2.354,2.359,2.362,2.322,2.272,2.243,2.236,2.237,2.251,2.281,2.316,2.37,2.448,2.539,2.587,2.568,2.477,2.151,1.767,1.419,1.298,1.239,1.224,1.256,1.279,1.29,1.234,1.172,1.13,1.074,0.993,0.93,0.875,0.856,0.851,0.857,0.843,0.81,0.79,0.784,0.786,0.815,0.879,,,0.784
NWFSC-YEYEROCKPCOAST-1923-2006-BRANCH,YEYEROCKPCOAST,California Current,Sebastes ruberrimus,Yelloweye rockfish Pacific Coast,1164,SSB mt,Branch obtained from assessments,5.086,5.081,5.075,5.07,5.065,5.061,5.02,4.974,4.93,4.879,4.834,4.793,4.758,4.723,4.684,4.651,4.613,4.572,4.531,4.49,4.425,4.355,4.289,4.193,4.075,3.962,3.845,3.707,3.56,3.416,3.218,2.973,2.72,2.444,2.228,2.115,1.984,1.912,1.804,1.691,1.524,1.433,1.259,1.084,0.953,0.887,0.804,0.748,0.674,0.673,0.635,0.663,0.681,0.722,0.762,0.798,0.83,,,0.635
WGNSDS-CODIS-1968-2006-MINTO,CODIS,Celtic-Biscay Shelf,Gadus morhua,Atlantic cod Irish Sea,30057.1,Surplus production fit,,,,,,,,,,,,,,,,,,,,0.644,0.6,0.589,0.781,0.878,1,0.903,0.834,0.714,0.553,0.472,0.653,0.868,0.989,0.899,0.727,0.625,0.731,0.698,0.941,0.867,0.701,0.484,0.438,0.516,0.412,0.348,0.347,0.343,0.392,0.329,0.225,0.22,0.339,0.404,0.276,0.222,0.161,0.151,,,0.151
WGNSDS-CODVIa-1977-2006-MINTO,CODVIa,Celtic-Biscay Shelf,Gadus morhua,Atlantic cod West of Scotland,57748.5,Surplus production fit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.695,0.985,1,0.92,0.936,0.759,0.822,0.512,0.491,0.656,0.628,0.559,0.432,0.379,0.347,0.4,0.419,0.414,0.396,0.383,0.303,0.273,0.253,0.204,0.208,0.157,0.127,0.11,0.119,,,0.11
WGNPBW-BWHITNEA-1980-2007-JENNINGS,BWHITNEA,Celtic-Biscay Shelf,Micromesistius poutassou,Whiting Northeast Atlantic,10523400,Surplus production fit,"OK, different year used",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.325,0.269,0.268,0.277,0.299,0.31,0.281,0.251,0.252,0.28,0.331,0.337,0.316,0.299,0.296,0.319,0.469,0.587,0.65,0.72,0.876,1.027,1.113,0.974,0.808,0.667,0.415,,0.251
WGHMM-SOLEVIII-1982-2006-JENNINGS,SOLEVIII,Celtic-Biscay Shelf,Solea vulgaris,Common European sole Bay of Biscay,20616.6,Surplus production fit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.63,0.668,0.7,0.763,0.789,0.798,0.821,0.914,1,0.979,0.954,0.877,0.884,0.822,0.822,0.795,0.77,0.645,0.644,0.626,0.66,0.676,0.755,,,0.626
WGNSDS-SOLEIS-1968-2006-MINTO,SOLEIS,Celtic-Biscay Shelf,Solea vulgaris,Common European sole Irish Sea,5913.34,Surplus production fit,,,,,,,,,,,,,,,,,,,,,,1.134,1.181,0.892,1.038,0.963,0.964,0.851,0.778,0.908,1.065,1.021,0.944,0.723,0.792,1.071,1.186,1.414,1.317,0.914,0.783,0.646,0.656,0.668,0.552,0.763,0.58,0.473,0.519,0.664,0.688,0.62,0.81,0.646,0.549,0.5,0.457,0.364,,,0.364
WGNSSK-SOLEVIId-1981-2006-MINTO,SOLEVIId,Celtic-Biscay Shelf,Solea vulgaris,Common European sole ICES VIId,15948.5,Surplus production fit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.657,0.796,0.819,0.845,0.888,0.826,0.817,0.765,0.885,1.009,1.107,1.145,0.994,0.965,1,0.921,0.8,0.8,0.834,0.812,0.907,1.153,1,1.174,1.415,,,0.657
WGSSDS-SOLECS-1970-2006-JENNINGS,SOLECS,Celtic-Biscay Shelf,Solea vulgaris,Common European sole Celtic Sea,4435.45,Surplus production fit,,,,,,,,,,,,,,,,,,,,,,,2.12,1.783,1.479,1.493,1.311,1.202,1.324,1.134,1.139,1.172,1.029,1.076,1.15,1.202,1.074,1.036,0.837,0.873,0.726,0.868,0.804,0.862,0.859,0.73,0.691,0.686,0.668,0.682,0.951,0.855,1.174,1.271,1.167,1.049,1.044,0.9,,,0.668
WGSSDS-SOLEVIIe-1968-2006-JENNINGS,SOLEVIIe,Celtic-Biscay Shelf,Solea vulgaris,Common European sole Western English Channel,6877.1,Surplus production fit,,,,,,,,,,,,,,,,,,,,,0.495,0.534,0.488,0.527,0.586,0.592,0.762,0.84,0.888,0.983,1,0.982,0.935,0.917,0.88,0.865,0.878,0.822,0.791,0.751,0.661,0.76,0.66,0.612,0.532,0.626,0.663,0.685,0.559,0.586,0.725,0.733,0.642,0.675,0.61,0.578,0.59,0.512,,,0.488
WGNSDS-PLAICIS-1962-2006-MINTO,PLAICIS,Celtic-Biscay Shelf,Pleuronectes platessa,European plaice Irish Sea,12397.2,Surplus production fit,,,,,,,,,,,,,,,,0.945,1.142,1.111,1.069,0.973,0.907,0.879,0.876,0.953,0.74,0.592,0.636,0.451,0.389,0.483,0.572,0.62,0.67,0.58,0.553,0.697,0.81,0.888,0.825,1.052,0.907,0.697,0.636,0.57,0.569,0.503,0.489,0.472,0.447,0.507,0.494,0.517,0.587,0.679,0.836,0.825,0.905,1.073,,,0.389
WGSSDS-PLAICCELT-1976-2006-JENNINGS,PLAICCELT,Celtic-Biscay Shelf,Pleuronectes platessa,European plaice ICES VIIe-k,3940.92,Surplus production fit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.595,0.541,0.822,1.035,0.812,0.826,0.936,1.807,1.413,1.068,1.541,2.247,1.286,1.351,1.116,0.982,0.891,0.798,1.018,0.977,0.853,0.75,0.511,0.519,0.68,0.466,0.489,0.423,0.513,0.646,,,0.423
WGSSDS-PLAICECHW-1975-2006-JENNINGS,PLAICECHW,Celtic-Biscay Shelf,Pleuronectes platessa,European plaice ICES VIIe,7041.32,Surplus production fit,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.298,0.327,0.355,0.444,0.58,0.706,0.655,0.702,0.703,0.76,0.842,0.79,1.1,1.009,0.968,0.739,0.723,0.558,0.449,0.508,0.509,0.673,0.614,0.514,0.507,0.493,0.548,0.487,0.547,0.544,0.514,,,0.298
WGNSDS-HADVIa-1977-2006-MINTO,HADVIa,Celtic-Biscay Shelf,Melanogrammus aeglefinus,Haddock West of Scotland,67965.8,Surplus production fit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.772,0.934,1.644,1.889,1.77,1.559,1.777,1.475,1.131,1.482,0.956,0.634,0.511,0.776,0.948,1.153,0.987,1.065,0.946,1.034,1.066,0.777,1.413,1.643,1.481,1.388,0.965,0.832,0.667,,,0.511
HAWG-HERRNIRS-1960-2006-JENNINGS,HERRNIRS,Celtic-Biscay Shelf,Clupea harengus,Herring Northern Irish Sea,96890.2,Surplus production fit,,,,,,,,,,,,,0.185,0.123,0.155,0.256,0.23,0.489,0.611,0.9,0.877,1.148,1.202,0.941,1.081,0.943,0.703,0.555,0.501,0.438,0.351,0.278,0.276,0.346,0.406,0.392,0.388,0.356,0.372,0.339,0.312,0.285,0.209,0.24,0.216,0.278,0.254,0.228,0.216,0.259,0.182,0.152,0.152,0.135,0.176,0.169,0.19,0.72,,,0.123
HAWG-HERRVIa-1957-2006-MINTO,HERRVIa,Celtic-Biscay Shelf,Clupea harengus,Herring ICES VIa,618755,Surplus production fit,,,,,,,,,,0.843,0.906,0.732,0.743,0.917,0.969,0.885,1.851,1.408,1.372,1.565,1.607,1.632,2.461,1.813,1.301,0.934,0.706,0.43,0.267,0.279,0.356,0.416,0.593,0.499,0.702,0.582,0.575,0.52,0.634,0.559,0.536,0.456,0.352,0.365,0.311,0.301,0.268,0.329,0.362,0.307,0.238,0.341,0.362,0.393,0.32,0.255,0.192,0.179,,,0.179
HAWG-HERRVIaVIIbc-1969-2000-MINTO,HERRVIaVIIbc,Celtic-Biscay Shelf,Clupea harengus,Herring ICES VIa-VIIb-VIIc,212720,Surplus production fit,,,,,,,,,,,,,,,,,,,,,,0.989,1.077,1.124,1.286,0.981,0.964,0.914,0.876,1.093,1.283,0.977,1.064,1.114,2.067,1.683,1.714,1.771,2.718,2.066,1.808,1.642,1.294,1.043,1.116,1.025,0.78,0.805,0.82,0.674,0.541,0.496,,,,,,,,,0.496
