"assessid" "currentyr" "b.ratio" "u.ratio" "type" "fromassessment"
"36" "NWFSC-CROCKPCOAST-1916-2007-BRANCH" 2007 0.850734226238502 0.0212765957446809 "pepper" "yes"
"37" "NWFSC-DKROCKPCOAST-1928-2007-BRANCH" 2007 0.730908703071672 0.3125 "pepper" "yes"
"194" "NWFSC-ESOLEPCOAST-1876-2007-BRANCH" 2006 2.05807773304872 0.136645667062804 "salt" "no"
"38" "NWFSC-LSTHORNHPCOAST-1962-2005-STANTON" 2005 2.65143967496909 0.227272727272727 "pepper" "yes"
"39" "NWFSC-PHAKEPCOAST-1966-2008-BRANCH" 2008 1.61323529411765 0.730769230769231 "pepper" "yes"
"40" "NWFSC-POPERCHPCOAST-1953-2007-BRANCH" 2007 0.687352126005543 0 "pepper" "yes"
"199" "NWFSC-PSOLENPCOAST-1910-2005-STANTON" 2004 0.961025393764063 1.25732159212463 "salt" "no"
"200" "NWFSC-PSOLESPCOAST-1874-2005-STANTON" 2004 0.628479945595965 0.612978055814841 "salt" "no"
"202" "NWFSC-SSTHORNHPCOAST-1901-2005-STANTON" 2004 1.54864310519888 0.925272874735177 "salt" "no"
"205" "NWFSC-YTROCKNPCOAST-1967-2005-STANTON" 2005 0.746333796249275 0.505919032835944 "salt" "no"
"41" "NZMFishDEEPWATER-BLACKOREOWECR-1973-2007-JENSEN" 2007 0.990502060013855 0.824965395894428 "pepper" "yes"
"42" "NZMFishDEEPWATER-SMOOTHOREOCR-1979-2006-JENSEN" 2006 2.24873024600090 0.384531413612565 "pepper" "yes"
"43" "NZMFishDEEPWATER-SMOOTHOREOWECR-1973-2004-JENSEN" 2004 1.24879079044461 0.531178184110971 "pepper" "yes"
"44" "NZMFishINSHOREWG-NZSNAPNZ8-1931-2005-JENSEN" 2005 0.353080364818751 2.49681040086674 "pepper" "yes"
"45" "NZMFishINSHOREWG-TREVALLYTRE7-1944-2005-JENSEN" 2005 1.43747054029498 0.83042831858407 "pepper" "yes"
"46" "NZMFishMIDDEPTHSWG-GEMFISHNZ-1952-2007-JENSEN" 2006 1.63557064294778 0.428687464026706 "pepper" "yes"
"47" "NZMFishMIDDEPTHSWG-NZLINGLIN3-4-1972-2007-JENSEN" 2007 3.06859446986501 0.0879935028248588 "pepper" "yes"
"48" "NZMFishMIDDEPTHSWG-NZLINGLIN5-6-1972-2007-JENSEN" 2007 3.95890277162857 0.099139872611465 "pepper" "yes"
"49" "NZMFishMIDDEPTHSWG-NZLINGLIN6b-1980-2006-JENSEN" 2006 2.18689536250862 0.112956883116883 "pepper" "yes"
"50" "NZMFishMIDDEPTHSWG-NZLINGLIN72-1972-2007-JENSEN" 2007 2.48647635812674 0.323065772357724 "pepper" "yes"
"51" "NZMFishMIDDEPTHSWG-NZLINGLIN7WC-1972-2008-JENSEN" 2008 2.21385731123217 0.133847425742574 "pepper" "yes"
"52" "NZMFishMIDDEPTHSWG-SBWHITACIR-1979-2006-JENSEN" 2006 1.15430662009736 0.91783018292683 "pepper" "yes"
"53" "NZMFishMIDDEPTHSWG-SOUTHHAKECR-1975-2006-JENSEN" 2006 1.76839557949905 0.115969377162630 "pepper" "yes"
"54" "NZMFishMIDDEPTHSWG-SOUTHHAKESA-1975-2007-JENSEN" 2007 2.91089194789382 0.10671332247557 "pepper" "yes"
"55" "SEFSC-GAGGM-1963-2004-JENSEN" 2004 0.996813388613154 2.43781094527363 "pepper" "yes"
"56" "SEFSC-GAGSATLC-1962-2005-JENSEN" 2005 0.94233576020986 1.30801687763713 "pepper" "yes"
"241" "SEFSC-KMACKGM-1992-2001-JENSEN" 2001 1.50968024400667 0.437675186323997 "salt" "no"
"242" "SEFSC-KMACKSATLC-1981-2001-JENSEN" 2001 1.37630810152497 0.558691648958646 "salt" "no"
"57" "SEFSC-RPORGYSATLC-1972-2004-JENSEN" 2004 0.610676077403724 0.39075 "pepper" "yes"
"58" "SEFSC-SNOWGROUPSATLC-1961-2002-STANTON" 2002 0.186389413988658 3.08 "pepper" "yes"
"60" "SEFSC-SPANMACKSATLC-1950-2008-JENSEN" 2007 0.377453916284022 0.90909090909091 "pepper" "yes"
"61" "SEFSC-TILESATLC-1961-2002-STANTON" 2002 0.93813964066409 1.54511627906977 "pepper" "yes"
"63" "SEFSC-VSNAPSATLC-1946-2008-STANTON" 2007 0.860262008733624 1.27259067357513 "pepper" "yes"
"64" "SEFSC-YTSNAPSATLCGM-1962-2001-STANTON" 2001 1.14146142886220 0.611111111111111 "pepper" "yes"
"65" "SPC-ALBASPAC-1959-2006-JENSEN" 2006 2.45737623762376 0.904255319148936 "pepper" "yes"
"66" "SPC-BIGEYEWPO-1952-2006-JENSEN" 2006 1.05675146771037 1.37673879443586 "pepper" "yes"
"67" "SPC-SKJCWPAC-1972-2006-JENSEN" 2006 4.37768396331917 0.303370786516854 "pepper" "yes"
"68" "SPC-YFINCWPAC-1952-2005-JENSEN" 2005 1.22388937922918 0.797096053611318 "pepper" "yes"
"254" "SWFSC-DSOLEPCOAST-1910-2005-STANTON" 2004 1.33169395017794 0.453575187546674 "salt" "no"
"255" "SWFSC-GOPHERSPCOAST-1965-2005-STANTON" 2004 0.87875146052412 0.615944822428468 "salt" "no"
"257" "SWFSC-STFLOUNNPCOAST-1970-2005-STANTON" 2004 0.676261285596023 0.331621769606974 "salt" "no"
"258" "SWFSC-STFLOUNSPCOAST-1970-2005-STANTON" 2004 1.15446432280267 0.120704612545974 "salt" "no"
"89" "AFWG-CAPENOR-1965-2007-MINTO" 2006 0.173449863951465 0 "salt" "no"
"90" "AFWG-CODCOASTNOR-1982-2006-MINTO" 2006 0.273934584229171 2.16996074990954 "salt" "no"
"91" "AFWG-CODNEAR-1943-2006-MINTO" 2006 0.561596122977197 1.42388576466740 "salt" "no"
"92" "AFWG-GHALNEAR-1959-2007-JENNINGS" 2006 0.357715924880104 1.20352446879046 "salt" "no"
"93" "AFWG-GOLDREDNEAR-1986-2006-MINTO" 2006 0.288809260289720 2.64605073871729 "salt" "no"
"94" "AFWG-HADNEAR-1947-2006-MINTO" 2006 1.10006376824797 1.06260296131535 "salt" "no"
"95" "AFWG-POLLNEAR-1957-2006-MINTO" 2006 1.69551306950897 0.596616251341792 "salt" "no"
"96" "ASMFC-PANDALGOM-1960-2009-IDOINE" 2008 1.58000978369048 0.559883034014296 "salt" "no"
"97" "CCAMLR-ATOOTHFISHRS-1995-2007-JENSEN" 2007 1.76196145269713 1.09397021431874 "salt" "no"
"102" "CSIRO-OROUGHYCASCADE-1987-2006-FULTON" 2006 1.75691147989215 0.337842039485692 "salt" "no"
"109" "DFO-COD5Zjm-1978-2003-PREFONTAINE" 2002 0.339762819768685 0.448821892089302 "salt" "no"
"110" "DFO-HAD4X5Y-1960-2003-PREFONTAINE" 2003 0.85007587790515 0.327808338368302 "salt" "no"
"111" "DFO-HAD5Zejm-1969-2003-PREFONTAINE" 2002 0.999996762664457 0.646779260640522 "salt" "no"
"112" "DFO-NFLD-COD2J3KLIS-1959-2006-PREFONTAINE" 2005 1.60131971856084 0.142498818629044 "salt" "no"
"113" "DFO-NFLD-COD3Ps-1959-2004-PREFONTAINE" 2004 0.485220543567911 0.406768519514643 "salt" "no"
"114" "DFO-NFLD-MONK2J3KLNOPs-1977-2000-PREFONTAINE" 2000 1.47666695173751 0.0700142747437157 "salt" "no"
"115" "DFO-PAC-ESOLEHS-1944-2001-COLLIE" 2001 1.23476040933849 0.366873468544196 "salt" "no"
"116" "DFO-PAC-HERRCC-1951-2007-COLLIE" 2007 0.299670833780449 0.112273242182632 "salt" "no"
"117" "DFO-PAC-HERRPRD-1951-2007-COLLIE" 2007 0.163490617213574 0.324794893857959 "salt" "no"
"118" "DFO-PAC-HERRQCI-1951-2007-COLLIE" 2007 0.204224704658958 0 "salt" "no"
"119" "DFO-PAC-HERRSOG-1951-2007-COLLIE" 2007 0.911200656406296 0.404049636266064 "salt" "no"
"120" "DFO-PAC-HERRWCVANI-1951-2007-COLLIE" 2007 0.0339331920597717 0 "salt" "no"
"121" "DFO-PAC-PCODHS-1956-2005-COLLIE" 2004 0.366134555688604 0.251972099797116 "salt" "no"
"122" "DFO-PAC-PCODWCVANI-1956-2002-COLLIE" 2001 0.281424834474386 0.614688789348834 "salt" "no"
"123" "DFO-PAC-RSOLEHSTR-1945-2001-COLLIE" 2001 1.02685607302652 0.446307749544945 "salt" "no"
"124" "DFO-POLL4VWX5Zc-1974-2007-PREFONTAINE" 2006 0.556386050082895 0.304400700502543 "salt" "no"
"125" "DFO-QUE-COD3Pn4RS-1964-2007-PREFONTAINE" 2006 0.0887036425571737 0.789993191124082 "salt" "no"
"126" "DFO-SG-COD4TVn-1965-2007-PREFONTAINE" 2006 0.165484787099320 0.317539901812339 "salt" "no"
"127" "DFO-SG-SNOWCRABSGSL-1984-2007-ANDERSON" 2007 0.845367158258849 1.17674400527716 "salt" "no"
"128" "HAWG-HERR2224IIIa-1991-2006-MINTO" 2006 0.727506887725991 1.01783601490554 "salt" "no"
"129" "HAWG-HERRNIRS-1960-2006-JENNINGS" 2006 0.720034098133272 0.336658934516958 "salt" "no"
"130" "HAWG-HERRNS-1960-2007-MINTO" 2006 0.65299664257668 1.31808340876710 "salt" "no"
"131" "HAWG-HERRVIa-1957-2006-MINTO" 2006 0.179489914662529 1.58857708136905 "salt" "no"
"132" "HAWG-HERRVIaVIIbc-1969-2000-MINTO" 2000 0.495566942459571 1.04178991366544 "salt" "no"
"135" "ICCAT-BIGEYEATL-1950-2005-JENSEN" 2005 0.900007322544784 0.857011640617036 "salt" "no"
"136" "ICCAT-SKJEATL-1950-2006-JENSEN" 2006 1.7100803580272 0.265728737568271 "salt" "no"
"137" "ICCAT-SKJWATL-1952-2006-JENSEN" 2006 1.71933340324816 0.27046507335839 "salt" "no"
"139" "ICCAT-SWORDNATL-1978-2007-JENSEN" 2005 1.02696199124137 0.820079503009504 "salt" "no"
"140" "ICCAT-SWORDSATL-1950-2005-JENSEN" 2005 1.17905069032204 0.687839169347857 "salt" "no"
"142" "IFOP-CHTRACCH-1975-2007-JENSEN" 2006 0.51663748726123 1.19592364984652 "salt" "no"
"148" "IPHC-PHALNPAC-1988-2009-Parma" 2008 0.537752638915327 2.01340005715698 "salt" "no"
"149" "MARAM-ANCHOSA-1984-2006-deMoor" 2006 0.97166736359418 0.358369938456281 "salt" "no"
"151" "MARAM-CTRACSA-1950-2007-Johnston" 2007 1.47493502535493 0.760576592973883 "salt" "no"
"153" "MARAM-SARDSA-1984-2006-deMoor" 2006 0.752727373106407 0.554929063783784 "salt" "no"
"154" "MARAM-SSLOBSTERSASC-1973-2008-Johnston" 2008 0.514511537930082 1.50488022159011 "salt" "no"
"155" "NAFO-SC-AMPL3LNO-1955-2007-BAUM" 2006 0.0783147930887372 0.766299346670966 "salt" "no"
"156" "NAFO-SC-AMPL3M-1960-2007-BAUM" 2007 0.131421411666435 0 "salt" "no"
"157" "NAFO-SC-COD3NO-1953-2007-BAUM" 2006 0.0222615600541176 0.269158998378306 "salt" "no"
"158" "NAFO-SC-GHAL23KLMNO-1960-2006-PREFONTAINE" 2006 0.393272576806633 1.73088311788546 "salt" "no"
"159" "NAFO-SC-REDFISHSPP3LN-1959-2007-PREFONTAINE" 2006 1.94514847739739 0.00870212066018638 "salt" "no"
"161" "NAFO-SC-REDFISHSPP3M-1989-2006-PREFONTAINE" 2006 0.926284099915629 0.147408506113019 "salt" "no"
"162" "NAFO-SC-YELL3LNO-1960-2009-BAUM" 2007 1.61628045029196 0.152322838275498 "salt" "no"
"164" "NEFSC-BLUEFISHATLC-1981-2007-SHEPHERD" 2007 0.810087989510766 1.24676830902108 "salt" "no"
"167" "NEFSC-CODGOM-1893-2008-BAUM" 2007 1.45625511266713 0.290676925217182 "salt" "no"
"169" "NEFSC-MONKGOMNGB-1964-2006-RICHARDS" 2006 1.73457622709943 0.375440091455054 "salt" "no"
"170" "NEFSC-MONKSGBMATL-1964-2006-RICHARDS" 2006 1.716084731161 0.299165994944751 "salt" "no"
"171" "NEFSC-SCALLGB-1964-2006-HART" 2006 1.58842805457888 0.782293253084282 "salt" "no"
"172" "NEFSC-SCALLMATLC-1964-2006-HART" 2006 0.999996477273128 0.356469181219244 "salt" "no"
"173" "NEFSC-SDOGATLC-1962-2006-SOSEBEE" 2005 1.61212181486244 0.154750856920415 "salt" "no"
"174" "NEFSC-SURFMATLC-1965-2008-JACOBSON" 1994 1.85180698286992 0.000356267474227924 "salt" "no"
"175" "NEFSC-TILEMATLC-1973-2008-NITSCHKE" 2005 0.716756314599638 0.606154414825958 "salt" "no"
"183" "NMFS-MENATLAN-1940-2005-STANTON" 2005 0.466008754258829 0.967872005598362 "salt" "no"
"184" "NMFS-SARDNPAC-1981-2008-STANTON" 2006 1.72909403066324 0.374659352559143 "salt" "no"
"187" "NWFSC-BLACKROCKNPCOAST-1914-2006-BRANCH" 2006 1.37499222461089 0.568257174714944 "salt" "no"
"190" "NWFSC-CHILISPCOAST-1892-2007-BRANCH" 2006 1.43372742071337 0.0408110052949227 "salt" "no"
"195" "NWFSC-LNOSESKAPCOAST-1915-2007-BRANCH" 2007 1.55786335218945 0.395206876807947 "salt" "no"
"201" "NWFSC-SABLEFPCOAST-1900-2007-BRANCH" 2007 0.839465647537872 1.08752386066788 "salt" "no"
"203" "NWFSC-WROCKPCOAST-1955-2006-BRANCH" 2006 0.91321104683426 0.0678745767406612 "salt" "no"
"204" "NWFSC-YEYEROCKPCOAST-1923-2006-BRANCH" 2006 0.380265006793557 0.337421772189058 "salt" "no"
"206" "NWWG-CAPEICE-1977-2007-MINTO" 2006 0.485595111868407 0.852357878276946 "salt" "no"
"207" "NWWG-CODFAPL-1959-2006-MINTO" 2006 0.256108194535902 1.52224096790067 "salt" "no"
"208" "NWWG-CODICE-1952-2006-MINTO" 2006 0.457627118644068 1.16671302267516 "salt" "no"
"209" "NWWG-HADFAPL-1955-2006-MINTO" 2006 0.848699704364383 1.07484607174575 "salt" "no"
"210" "NWWG-HADICE-1977-2007-MINTO" 2007 0.984568943195487 1.22612569413253 "salt" "no"
"211" "NWWG-POLLFAPL-1958-2006-MINTO" 2006 0.989698907119726 1.52180447994899 "salt" "no"
"215" "NZMFishHOKIWG-HOKIENZ-1972-2007-FRANCIS" 2007 1.11108941524079 0.325694554744171 "salt" "no"
"216" "NZMFishHOKIWG-HOKIWNZ-1972-2007-FRANCIS" 2007 0.505046193319735 0.569034520428477 "salt" "no"
"219" "NZMFishLOBSTERWG-RROCKLOBSTERCRA1-1945-2001-JENSEN" 2001 1.13850310134499 0.880726997674661 "salt" "no"
"220" "NZMFishLOBSTERWG-RROCKLOBSTERCRA2-1945-2001-JENSEN" 2001 0.525341248416312 2.11648554826416 "salt" "no"
"221" "NZMFishLOBSTERWG-RROCKLOBSTERCRA4-1945-2005-JENSEN" 2005 0.668400655288767 1.32511427170923 "salt" "no"
"222" "NZMFishLOBSTERWG-RROCKLOBSTERCRA5-1945-2002-JENSEN" 2002 0.593494088777713 1.68401574285901 "salt" "no"
"223" "NZMFishLOBSTERWG-RROCKLOBSTERCRA7-1976-2005-JENSEN" 2005 0.72640924787574 0.430804241833537 "salt" "no"
"224" "NZMFishLOBSTERWG-RROCKLOBSTERCRA8-1976-2005-JENSEN" 2005 0.688990219046679 0.488712310901693 "salt" "no"
"232" "NZMFishSHELLFISHWG-PAUAPAU5A-1964-2006-JENSEN" 2006 0.720986660762088 2.82550395483353 "salt" "no"
"233" "NZMFishSHELLFISHWG-PAUAPAU5B-1963-2007-JENSEN" 2007 1.01709029731011 0.593023248933244 "salt" "no"
"234" "NZMFishSHELLFISHWG-PAUAPAU5D-1964-2006-JENSEN" 2006 0.441615411396078 2.102737941243 "salt" "no"
"235" "NZMFishSHELLFISHWG-PAUAPAU7-1964-2008-JENSEN" 2008 0.873932791130533 0.94309317944891 "salt" "no"
"236" "RIDEM-LOBSTERRI-1959-2007-COLLIE" 2006 0.526865025384191 0.672680502541814 "salt" "no"
"237" "RIDEM-TAUTOGRI-1959-2007-COLLIE" 2006 0.837809662973035 0.589083296626514 "salt" "no"
"238" "RIDEM-WINFLOUNDRI-1959-2007-COLLIE" 2006 0.246168723980375 1.59411825047226 "salt" "no"
"240" "SEFSC-GRAMBERGM-1986-2004-JENSEN" 2004 0.461922297256774 1.52292363168212 "salt" "no"
"243" "SEFSC-MENATGM-1964-2004-GILROY" 2004 1.08038185063287 0.483008869940591 "salt" "no"
"244" "SEFSC-RGROUPGM-1986-2005-JENSEN" 2005 0.997874099210358 0.877727312282546 "salt" "no"
"249" "SFI-WPOLLNSO-1985-1994-JENSEN" 1992 1.10994076667117 0.872374756591144 "salt" "no"
"256" "SWFSC-SARDPCOAST-1981-2007-PINSKY" 2006 1.36251955262361 0.412257655401088 "salt" "no"
"259" "TAFI-TASGIANTCRABTAS-1990-2007-JENSEN" 2007 0.501846548829861 1.70527792238684 "salt" "no"
"260" "VNIRO-WPOLLWBS-1994-2004-JENSEN" 2004 2.16087891929077 0.26458485288592 "salt" "no"
"261" "WGBFAS-CODBA2224-1969-2007-JENNINGS" 2006 0.364263763737695 1.42883149384782 "salt" "no"
"262" "WGBFAS-CODBA2532-1964-2007-JENNINGS" 2006 0.164751222372490 1.45610498581687 "salt" "no"
"263" "WGBFAS-CODKAT-1970-2006-MINTO" 2006 0.187796520822351 0.314303078454419 "salt" "no"
"264" "WGBFAS-HERR2532-1973-2006-JENNINGS" 2006 0.68661268018773 0.786441357168947 "salt" "no"
"265" "WGBFAS-HERR30-1972-2007-JENNINGS" 2006 1.19312880558138 1.10052282708793 "salt" "no"
"266" "WGBFAS-HERR31-1979-2006-JENNINGS" 2006 0.285818848535577 1.60201271628018 "salt" "no"
"267" "WGBFAS-HERRIsum-1983-2007-JENNINGS" 2006 1.00000103627050 0.790094284078096 "salt" "no"
"268" "WGBFAS-HERRRIGA-1976-2007-JENNINGS" 2006 1.20823578488545 0.873536221148056 "salt" "no"
"269" "WGBFAS-SOLEIIIa-1982-2007-JENNINGS" 2006 1.24659278670582 0.536075999922487 "salt" "no"
"270" "WGBFAS-SPRAT22-32-1973-2007-JENNINGS" 2006 1.12908033984200 1.26673620328686 "salt" "no"
"271" "WGHMM-FMEG8c9a-1986-2006-JENNINGS" 2006 0.703067932797663 1.01233441883487 "salt" "no"
"272" "WGHMM-HAKENRTN-1977-2007-JENNINGS" 2006 1.04378261094178 0.735028340718792 "salt" "no"
"273" "WGHMM-MEG8c9a-1985-2007-JENNINGS" 2006 0.42673434856176 1.07147818196174 "salt" "no"
"274" "WGHMM-SOLEVIII-1982-2006-JENNINGS" 2006 0.755009947110486 1.00200590671144 "salt" "no"
"275" "WGMHSA-MACKNEICES-1972-2007-JENNINGS" 2006 0.9761153054221 0.733103935660011 "salt" "no"
"276" "WGNPBW-BWHITNEA-1980-2007-JENNINGS" 2006 0.66661044169074 1.66266278307182 "salt" "no"
"277" "WGNSDS-CODIS-1968-2006-MINTO" 2006 0.151011346653752 0.559128262831843 "salt" "no"
"278" "WGNSDS-CODVIa-1977-2006-MINTO" 2006 0.119145274581060 0.419315063565344 "salt" "no"
"279" "WGNSDS-HADVIa-1977-2006-MINTO" 2006 0.576469077636763 0.732218847607599 "salt" "no"
"280" "WGNSDS-PLAICIS-1962-2006-MINTO" 2006 1.07314554899493 0.227848653192576 "salt" "no"
"281" "WGNSDS-SOLEIS-1968-2006-MINTO" 2006 0.364430254306365 1.16255992712935 "salt" "no"
