scientificname,commonname
Nototheniidae,Cod icefishes
Nototodarus sloanii,Wellington flying squid
Oblada melanura,Saddled seabream
Octopodidae,Octopuses
Octopus,Octopuses
Octopus vulgaris,Common octopus
Ocyurus chrysurus,Yellowtail snapper
Odobenus rosmarus,Walrus
Odontesthes regia,Silverside
Ommastrephes bartramii,Neon flying squid
Ommastrephidae,Arrow squids
Ommatophoca rossii,Ross seal
Oncorhynchus,Pacific salmon
Oncorhynchus gorbuscha,Pink salmon
Oncorhynchus keta,Chum salmon
Oncorhynchus kisutch,Coho salmon
Oncorhynchus masou,Cherry salmon
Oncorhynchus mykiss,Rainbow trout
Oncorhynchus nerka,Sockeye salmon
Oncorhynchus tshawytscha,Chinook salmon
Ophidiidae,Cusk-eels
Ophiodon elongatus,Lingcod
Opisthonema libertate,Pacific thread herring
Opisthonema oglinum,Atlantic thread herring
Orcaella brevirostris,Irrawaddy dolphin
Orcinus orca,Killer whale
Orcynopsis unicolor,Plain bonito
Oreosomatidae,Oreos
Orthopristis chrysoptera,Pigfish
Osmeridae,Smelts
Osmerus eperlanus,European smelt
Osmerus mordax,Atlantic rainbow smelt
Ostraciidae,Boxfishes (cowfish and trunkfish)
Ostrea,Flat oysters
Ostrea chilensis,Chilean flat oyster
Ostrea edulis,European flat oyster
Ostrea lurida,Olympia flat oyster
Ostrea lutaria,New Zealand dredge oyster
Otaria flavescens,South (American) sea lion
Otolithes ruber,Tiger-toothed croaker
Oxynotus centrina,Angular roughshark
Oxynotus paradoxus,Sailfin roughshark
Pagellus,Pandoras
Pagellus acarne,Axillary seabream
Pagellus bellottii bellottii,Red pandora
Pagellus bogaraveo,Blackspot seabream
Pagellus erythrinus,Common pandora
Pagophilus groenlandica,Harp seal
Pagrus,Seabreams (Pagrus spp)
Pagrus auriga,Redbanded seabream
Pagrus caeruleostictus,Bluespotted seabream
Pagrus pagrus,Common seabream
Palaemon longirostris,Delta prawn
Palaemon serratus,Common prawn
Palaemonidae,Palaemonid shrimps
Palinuridae,Spiny lobsters
Palinurus,Spiny lobsters
Palinurus delagoae,Natal spiny lobster
Palinurus elephas,Common spiny lobster
Palinurus gichristi,Southern spiny lobster
Palinurus mauritanicus,Pink spiny lobster
Pampus,Silver pomfrets
Pampus argenteus,Silver pomfret
Pandalidae,Norther shrimps
Pandalopsis japonica,Sidestripe shrimp
Pandalus,Pandalus shrimps
Pandalus borealis,Northern prawn
Pandalus goniurus,Humpy shrimp
Pandalus hypsinotus,Humpback shrimp
Pandalus kessleri,Grass shrimp
Pandalus montagui,Aesop shrimp
Panopea abrupta,Pacific geoduck
Panulirus,Tropical spiny lobsters
Panulirus argus,Caribbean spiny lobster
Panulirus cygnus,Australian spiny lobster
Panulirus gracilis,Blue spiny lobster
Panulirus longipes,Longlegged spiny lobster
Panulirus regius,Royal spiny lobster
Paphia,Short neck clams
Paphies australis,Pipi wedge clam
Paracentrotus lividus,Stony sea urchin
Paralabrax humeralis,Peruvian rock seabass
Paralichthys,American flounders
Paralichthys californicus,California flounder
Paralichthys dentatus,Summer flounder
Paralichthys olivaceus,Bastard halibut
Paralithodes,King crabs
Paralithodes brevipes,Spiny king crab
Paralithodes camtschaticus,Red king crab
Paralithodes platypus,Blue King Crab
Paralomis formosa,Formosan snow crab
Paralomis granulosa,Softshell red crab
Paralomis spinosissima,Antarctic stone crab
Paralonchurus peruanus,Peruvian banded croaker
Parapenaeopsis,Shrimps
Parapenaeopsis atlantica,Guinea shrimp
Parapenaeus longirostris,Deepwater rose shrimp
Parapercis colias,Blue cod
Parapristipoma octolineatum,African striped grunt
Parastromateus niger,Black pomfret
Paratrachichthys trailli,Sandpaper fish
Paristiopterus labiosus,Giant boarfish
Parona signata,Parona leatherjacket
Parophrys vetula,English sole
Patagonotothen brevicauda,Patagonian rockcod
Patagonotothen ramsayi,Ramsay`s icefish
Patella,Limpets
Patinopecten caurinus,Weathervane scallop
Pecten jacobaeus,Great Mediterranean scallop
Pecten maximus,Great Atlantic scallop
Pecten novaezelandiae,New Zealand scallop
Pecten yessoensis,Yesso scallop
Pectinidae,Scallops
Pegusa lascaris,Sand sole
Pellona ditchela,Indian pellona
Penaeidae,Penaeid shrimps
Penaeus,Penaeus shrimps
Penaeus aztecus,Northern brown shrimp
Penaeus brasiliensis,Redspotted shrimp
Penaeus brevirostris,Crystal shrimp
Penaeus californiensis,Yellowleg shrimp
Penaeus chinensis,Fleshy prawn
Penaeus duorarum,Northern pink shrimp
Penaeus indicus,Indian white prawn
Penaeus japonicus,Kuruma prawn
Penaeus kerathurus,Caramote prawn
Penaeus latisulcatus,Western king prawn
Penaeus merguiensis,Banana prawn
Penaeus monodon,Giant tiger prawn
Penaeus notialis,Southern pink shrimp
Penaeus occidentalis,Western white shrimp
Penaeus paulensis,Sao Paulo shrimp
Penaeus penicillatus,Redtail prawn
Penaeus semisulcatus,Green tiger prawn
Penaeus setiferus,Northern white shrimp
Penaeus stylirostris,Blue shrimp
Penaeus vannamei,Whiteleg shrimp
Pennahia anea,Greyfin croaker
Pennahia argentata,White croaker
Pentaceros decacanthus,Bigspined boarfish
Pentanemus quinquarius,Royal threadfin
Peponocephala electra,Melon-headed whale
Peprilus,Harvestfishes
Peprilus alepidotus,Harvestfish
Peprilus simillimus,Pacific pompano
Peprilus triacanthus,American butterfish
Perciformes,Perch-likes
Percophis brasiliensis,Brazilian flathead
Perna perna,South American rock mussel
Perna viridis,Brown mussel
Petromyzon marinus,Sea lamprey
Petrus rupestris,Red steenbras
Phoca largha,Largha or spotted seal
Phoca vitulina,Harbour seal
Phocarctos hookeri,Hookers or New Zealand sea lion
Phocoena dioptrica,Spectacled porpoise
Phocoena phocoena,Harbour porpoise
Phocoena sinus,Vaquita
Phocoena spinipinnis,Burmeisters porpoise
Phocoenoides dalli,Dalls porpoise
Phycis,Gunnels, forkbeards
Phycis blennoides,Greater forkbeard
Phycis phycis,Forkbeard
Physeter macrocephalus,Sperm whale
Pitar rostratus,Rostrate pitar
Placopecten magellanicus,American sea scallop
Platax,Batfishes
Platichthys flesus,Flounder
Platycephalidae,Flatheads
Platycephalus indicus,Bartail flathead
Plectorhinchus macrolepis,Biglip grunt
Plectorhinchus mediterraneus,Rubberlip grunt
Pleoticus muelleri,Argentine red shrimp
Pleoticus robustus,Royal red shrimp
Plesiopenaeus edwardsianus,Scarlet shrimp
Pleuragramma antarcticum,Antarctic silverfish
Pleurogrammus azonus,Okhostk atka mackerel
Pleurogrammus monopterygius,Atka mackerel
Pleuroncodes monodon,Squat Lobster
Pleuroncodes planipes,Pelagic red crab
Pleuronectes platessus,European plaice
Pleuronectes quadrituberculatus,Alaska plaice
Pleuronectidae,Righteye flounders
Pleuronectiformes,Flatfishes
Pleuronichthys decurrens,Curlfin sole
Plotosus,Eel catfishes
Pogonias cromis,Black drum
Pollachius pollachius,Pollack
Pollachius virens,Saithe
Pollicipes pollicipes,European goose barnacle
Polydactylus quadrifilis,Giant African threadfin
Polynemidae,Threadfins
Polyprion americanus,Wreckfish
Polyprion oxygeneios,Hapuka
Pomacanthidae,Angelfishes
Pomadasys argenteus,Silver grunt
Pomadasys incisus,Bastard grunt
Pomadasys jubelini,Sompat grunt
Pomadasys kaakan,Javelin grunter
Pomatomus saltator,Bluefish
Pontinus kuhlii,Offshore rockfish
Pontoporia blainvillei,Franciscana
Portunidae,Swimming crabs
Portunus,Swims crabs
Portunus pelagicus,Blue swimming crab
Portunus trituberculatus,Gazami crab
Priacanthus,Bigeyes
Priacanthus macracanthus,Red bigeye
Prionace glauca,Blue shark
Prionotus,Sea robins
Pristidae,Sawfishes
Pristiophorus,Sawsharks
Promethichthys prometheus,Roudi escolar
Protothaca staminea,Pacific littleneck clam
Protothaca thaca,Taca clam
Psenopsis anomala,Melon seed
Psettichthys melanostictus,West American sand sole
Psettodes belcheri,Spottail spiny turbot
Psettodes bennettii,Spiny turbot
Psettodes erumei,Indian spiny turbot
Pseudocaranx dentex,White trevally
Pseudochaenichthys georgianus,South Georgia icefish
Pseudopentaceros richardsoni,Pelagic armorhead
Pseudopercis semifasciata,Pigletfish
Pseudophycis bachus,Red codling
Pseudopleuronectes americanus,Winter flounder
Pseudopleuronectes herzensteini,Littlemouth flounder
Pseudorca crassidens,False killer whale
Pseudotolithus,Croakers
Pseudotolithus elongatus,Bobo croaker
Pseudotolithus senegalensis,Cassava croaker
Pseudotolithus senegallus,Law croaker
Pseudupeneus prayensis,West African goatfish
Pterogymnus laniarius,Panga seabream
Pteroscion peli,Boe drum
Pterothrissus belloci,Longfin bonefish
Pterygotrigla picta,Spotted gurnard
Pterygotrigla polyommata,Latchet
Pusa hispida,Ringed seal
Pyura chilensis,Red sea squirt
Pyura stolonifera,Red sea squirt
Rachycentron canadum,Cobia
Raja,Skates
Raja asterias,Starry ray
Raja brachyura,Blonde ray
Raja clavata,Thornback ray
Raja microocellata,Small-eyed ray
Raja montagui,Spotted ray
Raja stellulata,Starry skate
Raja undulata,Undulate ray
Rajidae,Skates
Rajiformes,Skates and rays
Rapana,Sea snails
Rastrelliger,Indo-Pacific mackerels
Rastrelliger brachysoma,Short mackerel
Rastrelliger kanagurta,Indian mackerel
Regalecus glesne,King of herrings
Reinhardtius evermanni,Kamchatka flounder
Reinhardtius hippoglossoides,Greenland halibut
Rexea solandri,Silver gemfish
Rhabdosargus globiceps,White stumpnose
Rhinobatidae,Guitarfishes
Rhinobatos,Guitarfish
Rhinobatos percellens,Chola guitarfish
Rhinobatos planiceps,Pacific guitarfish
Rhinochimaera,Spookfishes
Rhinochimaera atlantica,Spearnose chimaera
Rhomboplites aurorubens,Vermilion snapper
Rhombosolea,Flounders
Rhynchobatus djiddensis,Giant guitarfish
Ruditapes decussatus,Grooved carpet shell
Ruditapes philippinarum,Japanese carpet shell
Ruvettus pretiosus,Oilfish
Salilota australis,Tadpole codling
Salmo,Salmon and trout
Salmo salar,Atlantic salmon
Salmo trutta,Sea trout
Salmonidae,Salmonids
Salps,Salpidae
Salvelinus,Char
Salvelinus alpinus,Charr
Sarda chiliensis,Eastern Pacific bonito
Sarda chiliensis lineolata,Pacific bonito
Sarda orientalis,Striped bonito
Sarda sarda,Atlantic bonito
Sardina pilchardus,European pilchard
Sardinella,Sardinella
Sardinella aurita,Round sardinella
Sardinella brasiliensis,Brazilian sardinella
Sardinella gibbosa,Goldstripe sardinella
Sardinella lemuru,Bali sardinella
Sardinella longiceps,Indian oil sardine
Sardinella maderensis,Madeiran sardinella
Sardinella zunasi,Japanese sardinella
Sardinops sagax,South American pilchard
Sarpa salpa,Salema
Saurida tumbil,Greater lizardfish
Saurida undosquamis,Brushtooth lizardfish
Saxidomus giganteus,Butter clam
Scapharca subcrenata,Half-crenated ark
Scaridae,Parrotfishes
Scarus persicus,Gulf parrotfish
Scatophagus,Scats
Schedophilus ovalis,Imperial blackfish
Schedophilus pemarco,Pemarco blackfish
Sciaena gilberti,Corvina
Sciaena umbra,Brown meagre
Sciaenidae,Drums or croakers
Sciaenops ocellatus,Red drum
Sclerocrangon,Sculptured shrimps
Scolopsis,Monocle breams
Scomber,Mackerels
Scomber australasicus,Blue mackerel
Scomber japonicus,Chub mackerel
Scomber scombrus,Atlantic mackerel
Scomberesocidae,Sauries
Scomberesox saurus,Atlantic saury
Scomberoides,Queenfishes
Scomberoides commersonnianus,Talang queenfish
Scomberomorus,Seerfishes
Scomberomorus brasiliensis,Serra Spanish mackerel
Scomberomorus cavalla,King mackerel
Scomberomorus commerson,Narrow-barred Spanish mackerel
Scomberomorus guttatus,Indo-Pacific king mackerel
Scomberomorus lineolatus,Streaked seerfish
Scomberomorus maculatus,Spanish mackerel
Scomberomorus niphonius,Japanese Spanish mackerel
Scomberomorus regalis,Cero
Scomberomorus sierra,Pacific sierra
Scomberomorus tritor,West African Spanish mackerel
Scombridae,Mackerels, tunas, bonitos
Scombroids,Tunas, bonitos, billfishes
Scophthalmidae,Turbots
Scophthalmus aquosus,Windowpane
Scophthalmus maximus,Turbot
Scophthalmus rhombus,Brill
Scorpaena,Scorpionfish
Scorpaena scrofa,Largescaled scorpionfish
Scorpaenichthys marmoratus,Cabezon
Scorpaenidae,Scorpionfishes or rockfishes
Scrobicularia plana,Peppery furrow shell
Scyliorhinidae,Cat sharks
Scyliorhinus,Lesser catsharks
Scyliorhinus canicula,Smallspotted catshark
Scyliorhinus stellaris,Nursehound
Scylla serrata,Indo-Pacific swamp crab
Scyllaridae,Slipper lobsters
Scyllarides latus,Mediterranean slipper lobster
Sebastes,Redfishes
Sebastes alutus,Pacific ocean perch
Sebastes entomelas,Widow rockfish
Sebastes flavidus,Yellowtail rockfish
Sebastes goodei,Chilipepper
Sebastes marinus,Ocean perch
Sebastes melanops,Black rockfish
Sebastes mentella,Deepwater redfish
Sebastes paucispinis,Bocaccio
Sebastes pinniger,Canary rockfish
Sebastes viviparus,Norway redfish
Sebastolobus alascanus,Shortspine thornyhead
Selar crumenophthalmus,Bigeye scad
Selaroides leptolepis,Yellowstripe scad
Selene dorsalis,African moonfish
Selene setapinnis,Atlantic moonfish
Semele solida,Chilean semele
Semicossyphus pulcher,California sheephead
Sepia officinalis,Common cuttlefish
Sepiidae,Cuttlefishes
Sergestidae,Sergestid shrimp
Seriola,Amberjacks
Seriola dumerili,Greater amberjack
Seriola lalandi,Yellowtail amberjack
Seriolella,Barrelfishes
Seriolella brama,Common warehou
Seriolella caerulea,White warehou
Seriolella porosa,Choicy ruff
Seriolella punctata,Silver warehou
Seriolina nigrofasciata,Blackbanded trevally
Serranidae,Sea basses/groupers/fairy basslets
Serranus,Groupers
Sharks, rays, chimaeras,Sharks, rays, skates, etc
Sharks, rays, chimaeras,Cartilaginous fishes
Sharks, rays, chimaeras,Various sharks
Shrimps, prawns,Natantian decapods
Sicyonia brevirostris,Rock shrimp
Sicyonia ingentis,Ridgeback shrimp
Siganus,Rabbitfishes
Siliqua patula,Pacific razor clam
Sillaginidae,Smelt-whitings
Solea,Soles
Solea senegalensis,Senegalese sole
Solea solea,Common sole
Soleidae,Soles
Solen,Razor clams
Solenidae,Razor clams, knife clams
Solenocera agassizii,Kolibri shrimp
Somniosus microcephalus,Greenland shark
Somniosus pacificus,Pacific sleeper shark
Somniosus rostratus,Little sleeper shark
Sotalia fluviatilis,Tucuxi
Sousa chinensis,Pacific hump-backed dolphin
Sousa plumbea,Indian hump-backed dolphin
Sousa teuszii,Atlantic hump-backed dolphin
Spaniblennius riodourensis,Rio de Oreo blenny
Sparidae,Porgies
Sparisoma cretense,Parrotfish
Sparus auratus,Gilthead seabream
Spectrunculus grandis,Pudgy cuskeel
Sphoeroides,Puffers
Sphoeroides maculatus,Northern puffer
Sphyraena,Barracudas
Sphyrna,Hammerhead sharks
Sphyrna lewini,Scalloped hammerhead
Sphyrna zygaena,Smooth hammerhead
Sphyrnidae,Hammer-/bonnet-/scoophead sharks
Spicara,Picarels
Spicara maena,Blotched picarel
Spisula,Surf clam
Spisula ovalis,Venus clam
Spisula polynyma,Stimpsons surf clam
Spisula solida,Surf clam
Spisula solidissima,Atlantic surf clam
Spondyliosoma cantharus,Black seabream
Spratelloides gracilis,Silverstriped round herring
Sprattus fuegensis,Falkland sprat
Sprattus sprattus,European sprat
Sprattus sprattus balticus,Baltic sprat
Squalidae,Dogfish sharks
Squaliformes,Bramble, sleeper, dogfish sharks
Squalus,Dogfishes
Squalus acanthias,Piked dogfish
Squatina argentina,Argentine angelshark
Squatina squatina,Angelshark
Squatinidae,Angel sharks
Squilla mantis,Spottail mantis shrimp
Squillidae,Mantis shrimps
Starfish and other echinoderms,Starfishes
Stenella attenuata,Pantropical spotted dolphin
Stenella clymene,Clymene dolphin
Stenella coeruleoalba,Striped dolphin
Stenella frontalis,Atlantic spotted dolphin
Stenella longirostris,Spinner dolphin
Steno bredanensis,Rough-toothed dolphin
Stenotomus chrysops,Scup
Stephanolepis cirrhifer,Thread-sail filefish
Stereolepis gigas,Giant sea-bass
Stolephorus,Indo-Pacific anchovies
Stomatopoda,Mantis shrimps
Strangomera bentincki,Araucanian herring
Stromateidae,Butterfishes
Stromateus fiatola,Blue butterfish
Strombus,Stromboid conchs
Strongylocentrotus,Sea urchins
Symbolophorus barnardi,Barnard`s lanternfish
Symphodus melops,Corkwing wrasse
Synagrops japonicus,Japanese splitfin
Synodontidae,Lizardfishes
Takifugu vermicularis,Pear puffer
Tapes,Tapes clams
Tapes pullastra,Pullet carpet shell
Tapes rhomboides,Banded carpet shell
Tasmacetus shepherdi,Tasman or Shepherds beaked whale
Tautoga onitis,Tautog
Tautogolabrus adspersus,Cunner
Tawera gayi,Gay`s little venus
Tellina,Tellins
Tenualosa ilisha,Hilsa shad
Tenualosa toli,Toli shad
Terapon,Trumpeters
Tetraodontidae,Puffers
Tetrapturus albidus,Atlantic white marlin
Tetrapturus angustirostris,Shortbill spearfish
Tetrapturus audax,Striped marlin
Tetrapturus pfluegeri,Longbill spearfish
Teuthida,Squids
Thais haemastoma,Hays rock-shell
Thaleichthys pacificus,Eulachon
Thenus orientalis,Flathead lobster
Theragra chalcogramma,Alaska pollack
Thunnus,Tuna
Thunnus alalunga,Albacore
Thunnus albacares,Yellowfin tuna
Thunnus atlanticus,Blackfin tuna
Thunnus maccoyii,Southern bluefin tuna
Thunnus obesus,Bigeye tuna
Thunnus orientalis,Pacific bluefin tuna
Thunnus thynnus,Northern bluefin tuna
Thunnus tonggol,Longtail tuna
Thyrsites atun,Snoek
Thyrsitops lepidopoides,White snake mackerel
Tivela mactroides,Trigonal tivela
Todarodes pacificus,Japanese flying squid
Todarodes sagittatus,European flying squid
Tonna galea,Helmet ton
Torpedinidae,Electric rays
Torpedo,Electric rays
Totoaba macdonaldi,Totoaba
Trachichthyidae,Slimeheads
Trachinidae,Weeverfishes
Trachinotus,Pompanos
Trachinotus blochii,Snubnose pompano
Trachinotus carolinus,Florida pompano
Trachinotus mookalee,Indian pompano
Trachinotus ovatus,Derbio
Trachinus,Weevers
Trachinus draco,Greater weever
Trachipterus,Deaf fishes
Trachurus,Jack mackerels
Trachurus capensis,Cape horse mackerel
Trachurus declivis,Greenback horse mackerel
Trachurus japonicus,Japanese jack mackerel
Trachurus lathami,Rough scad
Trachurus mediterraneus,Mediterranean horse mackerel
Trachurus murphyi,Inca scad
Trachurus picturatus,Blue jack mackerel
Trachurus symmetricus,Pacific jack mackerel
Trachurus trachurus,Atlantic horse mackerel
Trachurus trecae,Cunene horse mackerel
Trachypenaeus curvirostris,Southern rough shrimp
Trematomus eulepidotus,Blunt scalyhead
Trematomus hansoni,Striped rockcod
Tresus,Gaper clams
Triakidae,Houndsharks
Trichiuridae,Cutlassfishes
Trichiurus lepturus,Largehead hairtail
Trigla,Gurnards
Trigla lyra,Piper gurnard
Triglidae,Searobins
Trisopterus esmarkii,Norway pout
Trisopterus luscus,Pouting
Trisopterus minutus,Poor cod
Turbo,Turbo snails
Turbo cornutus,Horned turban
Tursiops aduncus,Indian Ocean bottlenose dolphin
Tursiops truncatus,Bottlenose dolphin
Tylosurus,Needlefishes
Umbrina canariensis,Canary drum
Umbrina canosai,Argentine croaker
Umbrina cirrosa,Shi drum
Upeneus,Tropical goatfishes
Upogebia pugettensis,Blue mud shrimp
Uranoscopus,Stargazers
Urophycis brasiliensis,Brazilian codling
Urophycis chuss,Red hake
Urophycis tenuis,White hake
Valamugil seheli,Bluespot mullet
Veneridae,Venus clams
Venus (=Chamelea) gallina,Striped venus
Venus verrucosa,Warty venus
Xiphias gladius,Swordfish
Xiphopenaeus kroyeri,Atlantic seabob
Xiphopenaeus riveti,Pacific seabob
Zalophus californianus,California sea lion
Zalophus wollebaeki,Galapagos sea lion
Zeidae,Dories
Zenopsis conchifer,Silvery John dory
Zenopsis nebulosus,Mirror dory
Zeus faber,John dory
Zidona dufresnei,Angulate volute
Ziphius cavirostris,Cuviers beaked whale
Zoarces americanus,Ocean pout
Zoarces viviparus,Viviparous blenny
Zygochlamys delicatula,Delicate scallop
Zygochlamys patagonica,Patagonean scallop
