"assessid","maxyr","biovalue","tsvalue","ratio"
"93","NWFSC-POPERCHPCOAST-1953-2007-BRANCH",2007,14793,7829,0.529236801189752
"94","NWFSC-PSOLENPCOAST-1910-2005-STANTON",2005,2658,1267,0.476674191121144
"95","NWFSC-PSOLESPCOAST-1874-2005-STANTON",2005,4121,1133,0.274933268624120
"96","NWFSC-SSTHORNHPCOAST-1901-2005-STANTON",2005,52258,90438.9,1.73062306249761
"97","NWFSC-YTROCKNPCOAST-1967-2005-STANTON",2005,12407,18036.97,1.45377367615056
"98","NZMFishDEEPWATER-BLACKOREOWECR-1973-2007-JENSEN",2007,27427,34414.8,1.25477813833084
"99","NZMFishDEEPWATER-SMOOTHOREOCR-1979-2006-JENSEN",2006,50242.75375,150168.9,2.98886682738802
"100","NZMFishDEEPWATER-SMOOTHOREOWECR-1973-2004-JENSEN",2004,21242.3892,33862.9,1.594119177517
"101","NZMFishINSHOREWG-NZSNAPNZ8-1931-2005-JENSEN",2005,23536.1148,12033.6,0.511282346396441
"102","NZMFishINSHOREWG-TREVALLYTRE7-1944-2005-JENSEN",2005,15634.89433,28885,1.84747011334614
"103","NZMFishMIDDEPTHSWG-GEMFISHNZ-1952-2007-JENSEN",2006,1803.02616666667,8618.18333333333,4.7798437386331
"104","NZMFishMIDDEPTHSWG-NZLINGLIN3-4-1972-2007-JENSEN",2007,30157.781,124865,4.14039083313192
"105","NZMFishMIDDEPTHSWG-NZLINGLIN5-6-1972-2007-JENSEN",2007,48407.352,248397,5.13138995911200
"106","NZMFishMIDDEPTHSWG-NZLINGLIN6b-1980-2006-JENSEN",2006,3014.0994,11383.3,3.77668367539571
"107","NZMFishMIDDEPTHSWG-NZLINGLIN72-1972-2007-JENSEN",2007,1700.080512,5183.05,3.04870855433934
"108","NZMFishMIDDEPTHSWG-NZLINGLIN7WC-1972-2008-JENSEN",2008,28029.9456,57784.5,2.06152736878662
"109","NZMFishMIDDEPTHSWG-SBWHITACIR-1979-2006-JENSEN",2006,52105.0464,29281,0.561960923616028
"110","NZMFishMIDDEPTHSWG-SOUTHHAKECR-1975-2006-JENSEN",2006,7786.9455,40365.5,5.1837398887664
"111","NZMFishMIDDEPTHSWG-SOUTHHAKESA-1975-2007-JENSEN",2007,14153.0846,77425.2,5.47055304113705
"112","SEFSC-GAGGM-1963-2004-JENSEN",2004,12383.06,5410.9,0.436959846758394
"113","SEFSC-GAGSATLC-1962-2005-JENSEN",2005,3594.7166,2151.01,0.598380968335585
"114","SEFSC-GRAMBERSATLC-1946-2006-JENSEN",2006,1940,2399.22,1.23671134020619
"115","SEFSC-GTRIGGM-1981-2004-JENSEN",2004,1.21e+09,2.58e+09,2.13223140495868
"116","SEFSC-KMACKGM-1992-2001-JENSEN",2001,6.385e+09,4.83e+09,0.756460454189507
"117","SEFSC-KMACKSATLC-1981-2001-JENSEN",2001,2.93e+09,3.14e+09,1.07167235494881
"118","SEFSC-MUTSNAPSATLCGM-1981-2006-JENSEN",2006,6296,3287.49,0.522155336721728
"119","SEFSC-RPORGYSATLC-1972-2004-JENSEN",2004,3236.02,1021.36,0.315622276747362
"120","SEFSC-RSNAPSATLC-1945-2006-JENSEN",2006,7890,168.757,0.0213887198986058
"121","SEFSC-SNOWGROUPSATLC-1961-2002-STANTON",2002,2481,1024.3,0.41285771866183
"122","SEFSC-SNOWGROUPSATLC-1961-2002-STANTON",2002,2116,711,0.336011342155009
"123","SEFSC-SPANMACKSATLC-1950-2008-JENSEN",2007,15027,3716,0.247288214547148
"124","SEFSC-TILESATLC-1961-2002-STANTON",2002,2611.4,2829.2,1.08340353833193
"125","SEFSC-TILESATLC-1961-2002-STANTON",2002,879.4,889.6,1.01159881737548
"126","SEFSC-VSNAPSATLC-1946-2008-STANTON",2007,9.16e+09,1.026e+10,1.12008733624454
"127","SEFSC-YTSNAPSATLCGM-1962-2001-STANTON",2001,4913,4524,0.920822308162019
"128","SPC-ALBASPAC-1959-2006-JENSEN",2006,40400,161830,4.00569306930693
"129","SPC-BIGEYEWPO-1952-2006-JENSEN",2006,102200,191000,1.86888454011742
"130","SPC-SKJCWPAC-1972-2006-JENSEN",2006,894200,3573325,3.99611384477745
"131","SPC-YFINCWPAC-1952-2005-JENSEN",2005,679800,1620000,2.38305383936452
"132","SWFSC-CMACKPCOAST-1929-2008-PINSKY",2008,122357,127154,1.03920494945120
"133","SWFSC-DSOLEPCOAST-1910-2005-STANTON",2005,117281,124745,1.06364202215193
"134","SWFSC-GOPHERSPCOAST-1965-2005-STANTON",2005,798,1494.1,1.87230576441103
"135","SWFSC-STFLOUNNPCOAST-1970-2005-STANTON",2005,1930,8031,4.16113989637306
"136","SWFSC-STFLOUNSPCOAST-1970-2005-STANTON",2005,934,1676,1.79443254817987
