"tscategory","tsshort","tslong","tsunitsshort","tsunitslong"
"RECRUITS (NOTE: RECRUITS ARE OFFSET IN TIME SERIES BY THE AGE OF RECRUITMENT)","R","Recruits","E06","Millions"
"RECRUITS (NOTE: RECRUITS ARE OFFSET IN TIME SERIES BY THE AGE OF RECRUITMENT)","R","Recruits","E03","Thousands"
"RECRUITS (NOTE: RECRUITS ARE OFFSET IN TIME SERIES BY THE AGE OF RECRUITMENT)","R","Recruits","E00","Individuals"
"RECRUITS (NOTE: RECRUITS ARE OFFSET IN TIME SERIES BY THE AGE OF RECRUITMENT)","RYCS","Relative year class strength","%","Percentage"
"RECRUITS (NOTE: RECRUITS ARE OFFSET IN TIME SERIES BY THE AGE OF RECRUITMENT)","R-1","Recruits. Use only when there is more than 1 'final' model.","E00","Individuals"
"RECRUITS (NOTE: RECRUITS ARE OFFSET IN TIME SERIES BY THE AGE OF RECRUITMENT)","R-2","Recruits. Use only when there is more than 1 'final' model.","E00","Individuals"
"RECRUITS (NOTE: RECRUITS ARE OFFSET IN TIME SERIES BY THE AGE OF RECRUITMENT)","R-3","Recruits. Use only when there is more than 1 'final' model.","E00","Individuals"
"RECRUITS (NOTE: RECRUITS ARE OFFSET IN TIME SERIES BY THE AGE OF RECRUITMENT)","R-4","Recruits. Use only when there is more than 1 'final' model.","E00","Individuals"
"FISHING MORTALITY","F","Fishing mortality (preferred metric).","1/yr",
"FISHING MORTALITY","F","Fishing mortality (preferred metric).","1/T",
"FISHING MORTALITY","F-1","Fishing mortality. Use only when there is more than 1 'final' model.","1/T",
"FISHING MORTALITY","F-2","Fishing mortality. Use only when there is more than 1 'final' model.","1/T",
"FISHING MORTALITY","F-3","Fishing mortality. Use only when there is more than 1 'final' model.","1/T",
"FISHING MORTALITY","F-4","Fishing mortality. Use only when there is more than 1 'final' model.","1/T",
"FISHING MORTALITY","F-5","Fishing mortality. Use only when there is more than 1 'final' model.","1/T",
"FISHING MORTALITY","F-6","Fishing mortality. Use only when there is more than 1 'final' model.","1/T",
"FISHING MORTALITY","ER","Exploitation Rate (2nd choice - use if F not available). Catch / Total Biomass","ratio","catch/biomass"
"FISHING MORTALITY","EI","Exploitation index (3rd choice - use this if ER and percentSPR not available)","ratio","catch biomass/survey biomass"
"TOTAL BIOMASS","TB","Total biomass (or total exploitable biomass). Denoted on biometrics page","MT","Metric tons"
"TOTAL BIOMASS","TB","Total biomass (or total exploitable biomass). Denoted on biometrics page","E03MT","Thousands of metric tons"
"TOTAL BIOMASS","TB","Total biomass (or total exploitable biomass). Denoted on biometrics page","relative","relative"
"TOTAL BIOMASS","TN","Total abundance. Use TN if TB is not available","E03","Thousands"
"TOTAL BIOMASS","TN","Total abundance. Use TN if TB is not available","E06","Millions"
"TOTAL BIOMASS","TN","Total abundance","relative","relative"
"TOTAL BIOMASS","TB-1","Total biomass. Use only when there is more than 1 'final' model.","MT","Metric tons"
"TOTAL BIOMASS","TB-2","Total biomass. Use only when there is more than 1 'final' model.","MT","Metric tons"
"TOTAL BIOMASS","TB-3","Total biomass. Use only when there is more than 1 'final' model.","MT","Metric tons"
"TOTAL BIOMASS","TB-4","Total biomass. Use only when there is more than 1 'final' model.","MT","Metric tons"
"CATCH or LANDINGS","TC","Total catch (i.e. landings + discards. Add landings + discards to get this).","E03MT","Thousands of metric tons"
"CATCH or LANDINGS","TC","Total catch (i.e. landings + discards. Add landings + discards to get this).","MT","Metric tons"
"CATCH or LANDINGS","TC","Total catch (i.e. landings + discards. Add landings + discards to get this).","E06","Millions"
"CATCH or LANDINGS","TC-1","Total catch. Use only when there is more than 1 accepted 'total catch' time series","E06","Millions"
"CATCH or LANDINGS","TC-2","Total catch. Use only when there is more than 1 accepted 'total catch' time series","E06","Millions"
"CATCH or LANDINGS","TC-3","Total catch. Use only when there is more than 1 accepted 'total catch' time series","E06","Millions"
"CATCH or LANDINGS","TC-4","Total catch. Use only when there is more than 1 accepted 'total catch' time series","E06","Millions"
"CATCH or LANDINGS","TL","Total landings","E03MT","Thousands of metric tons"
"CATCH or LANDINGS","TL","Total landings","MT","Metric tons"
"CATCH or LANDINGS","TL","Total landings","E06","Millions"
"CATCH or LANDINGS","TL-1","Total landings. Use only when there is more than 1 accepted 'total landings' time series","MT","Metric tons"
"CATCH or LANDINGS","TL-2","Total landings. Use only when there is more than 1 accepted 'total landings' time series","MT","Metric tons"
"CATCH or LANDINGS","TL-3","Total landings. Use only when there is more than 1 accepted 'total landings' time series","MT","Metric tons"
"CATCH or LANDINGS","TL-4","Total landings. Use only when there is more than 1 accepted 'total landings' time series","MT","Metric tons"
"OTHER TIME SERIES DATA","ASP","Annual surplus production","MT","Metric tons"
"OTHER TIME SERIES DATA","M","Natural mortality (1 value per year)","1/T","per unit time"
"OTHER TIME SERIES DATA","Yield-SSB","Yield per SSB","dimensionless","dimensionless"
"OTHER TIME SERIES DATA","Yield-SSB-1","Yield per SSB. Use only when there is more than 1 'final' model.","dimensionless","dimensionless"
"OTHER TIME SERIES DATA","Yield-SSB-2","Yield per SSB. Use only when there is more than 1 'final' model.","dimensionless","dimensionless"
"OTHER TIME SERIES DATA","Z","Total mortality from survey based assessments","1/T","per unit time"
