stockid,NMFSname
"BKINGCRABPI","Blue king crab - Pribilof Islands"
"RKCRABBB","Red king crab - Bristol Bay"
"SNOWCRABBS","Snow crab - Bering Sea"
"NROCKGA","Northern rockfish - Gulf of Alaska"
"POPERCH","Pacific ocean perch - Gulf of Alaska"
"DUSKYROCKGA","Dusky rockfish - Gulf of Alaska"
"REYEROCKGA","Rougheye rockfish - Gulf of Alaska"
"REXSOLEGA","Rex sole - Gulf of Alaska"
"DSOLEGA","Dover sole - Gulf of Alaska"
"FLSOLEGA","Flathead sole - Gulf of Alaska"
"PCODGA","Pacific cod - Gulf of Alaska"
"WPOLLGA","Walleye pollock - Gulf of Alaska"
"ARFLOUNDGA","Arrowtooth flounder - Gulf of Alaska"
"SPANMACKSATLC","Spanish mackerel - Southern Atlantic Coast"
"SPANMACKGM","Spanish mackerel - Gulf of Mexico"
"KMACKSATLC","King mackerel - Southern Atlantic Coast"
"KMACKGM","King mackerel - Gulf of Mexico"
"RSNAPGM","Red grouper - Gulf of Mexico"
"GAGGM","Gag - Gulf of Mexico"
"GTRIGGM","Gray triggerfish - Gulf of Mexico"
"VSNAPGM","Vermilion snapper - Gulf of Mexico"
"GRAMBERGM","Greater amberjack - Gulf of Mexico"
"BRNSHRIMPGM","Brown shrimp - Gulf of Mexico"
"WSHRIMPGM","White shrimp - Gulf of Mexico"
"PINKSHRIMPGM","Pink shrimp - Gulf of Mexico"
"ROYALRSHRIMPGM","Royal red shrimp - Gulf of Mexico"
"SNOSESHARATL","Atlantic sharpnose shark - Atlantic"
"BNOSESHARATL","Blacknose shark - Atlantic"
"BHEADSHARATL","Bonnethead shark - Atlantic"
"FTOOTHSHARATL","Finetooth shark - Atlantic"
"SBARSHARATL","Sandbar shark - Atlantic"
"BRNSHRIMPSATLC","Brown shrimp - Southern Atlantic Coast"
"WSHRIMPSATLC","White shrimp - Southern Atlantic Coast"
"PINKSHRIMPSATLC","Pink shrimp - Southern Atlantic Coast"
"RPORGYSATLC","Red porgy - Southern Atlantic coast"
"VSNAPSATLC","Vermillion snapper - Southern Atlantic coast"
"SNOWGROUPSATLC","Snowy grouper - Southern Atlantic coast"
"TILESATLC","Tilefish - Southern Atlantic coast"
"GAGSATLC","Gag - Southern Atlantic coast"
"RSNAPSATLC","Red snapper - Southern Atlantic coast"
"GRAMBERSATLC","Greater amberjack - Southern Atlantic coast"
"YFINATL","Yellowfin tuna - Atlantic"
"BTIPSHARATL","Blacktip shark - Atlantic"
"DUSKYSHARATL","Dusky shark - Atlantic"
"BIGEYEATL","Bigeye tuna - Atlantic"
"CMACKPCOAST","Pacific chub mackerel - Pacific Coast"
"BTIPSHARSATL","Blacktip shark - South Atlantic"
"SWONATL","Swordfish - North Atlantic"
"ATBTUNAWATL","Bluefin tuna - Western Atlantic"
"SARDPCOAST","Pacific sardine - Pacific Coast"
"SRAKEROCKBSAI","Shortraker rockfish - Bering Sea and Aleutian Islands"
"YFINCWPAC","Yellowfin tuna - Central Western Pacific"
"BSBASSSATLC","Black seabass - Southern Atlantic coast"
