"country"," mgmt"," areacode"," areaname"," alternateareaname"
"New Zealand","MFish","LIN3-4","New Zealand Areas LIN 3 and 4",
"New Zealand","MFish","LIN5-6","New Zealand Areas LIN 5 and 6",
"New Zealand","MFish","LIN6b","New Zealand Area LIN 6b",
"New Zealand","MFish","LIN72","New Zealand Area LIN 72",
"New Zealand","MFish","LIN7WC-WCSI","New Zealand Areas LIN 7WC-WCSI",
"New Zealand","MFish","CR","Chatham Rise",
"New Zealand","MFish","WECR","West end of Chatham Rise",
"New Zealand","MFish","SA","Sub-Antarctic",
"New Zealand","MFish","TRE7","New Zealand Area TRE 7",
"New Zealand","MFish","CIR","New Zealand - Campbell Island Rise",
"New Zealand","MFish","PAU5A","New Zealand Area PAU 5A (Fiordland)",
"New Zealand","MFish","PAU5B","New Zealand Area PAU 5B (Stewart Island)",
"New Zealand","MFish","PAU5D","New Zealand Area PAU 5D (Otago)",
"New Zealand","MFish","PAU7","New Zealand Area PAU 7 (Marlborough)",
"New Zealand","MFish","8","New Zealand Area 8 (Auckland and Central West)",
"New Zealand","MFish","CRA1","New Zealand Area CRA1",
"New Zealand","MFish","CRA2","New Zealand Area CRA2",
"New Zealand","MFish","CRA3","New Zealand Area CRA3",
"New Zealand","MFish","CRA4","New Zealand Area CRA4",
"New Zealand","MFish","CRA5","New Zealand Area CRA5",
"New Zealand","MFish","CRA7","New Zealand Area CRA7",
"New Zealand","MFish","CRA8","New Zealand Area CRA8",
"South Africa","DETMCM","SA","South Africa",
"South Africa","DETMCM","SASC","South Africa South coast",
"South Africa","DETMCM","1-2","South Africa Areas 1-2",
"South Africa","DETMCM","3-4","South Africa Areas 3-4",
"South Africa","DETMCM","5-6","South Africa Areas 5-6",
"South Africa","DETMCM","7","South Africa Area 7",
"South Africa","DETMCM","8","South Africa Area 8",
"USA","NMFS","5Y","Gulf of Maine",
"USA","NMFS","5YCHATT","Gulf of Maine / Cape Hatteras",
"USA","NMFS","5YZ","Gulf of Maine / Georges Bank",
"USA","NMFS","5YZSNE","Gulf of Maine / Georges Bank-Southern New England",
"USA","NMFS","5Z","Georges Bank",
"USA","NMFS","5ZSNE","Georges Bank-Southern New England",
"USA","NMFS","AI","Aleutian Islands",
"USA","NMFS","ATL","Atlantic",
"USA","NMFS","ATLC","Atlantic Coast",
"USA","NMFS","BB","Bristol Bay",
"USA","NMFS","BS","Bering Sea",
"USA","NMFS","BSAI","Bering Sea and Aleutian Islands",
"USA","NMFS","CAL","California",
"USA","NMFS","CBS","Central Bering Sea",
"USA","NMFS","CCOD5Y","Cape Cod / Gulf of Maine",
"USA","NMFS","CWPAC","Central Western Pacific",
"USA","NMFS","EBS","Eastern Bering Sea",
"USA","NMFS","EBSAI","Eastern Bering Sea and Aleutian Islands",
"USA","NMFS","EBSAIGA","Eastern Bering Sea / Aleutian Islands / Gulf of Alaska",
"USA","NMFS","EBSGA","Eastern Bering Sea and Gulf of Alaska",
"USA","NMFS","EGM","Eastern Gulf of Mexico",
"USA","NMFS","GA","Gulf of Alaska",
"USA","NMFS","GM","Gulf of Mexico",
"USA","NMFS","MATLC","Mid-Atlantic Coast",
"USA","NMFS","NATL","North Atlantic",
"USA","NMFS","NPAC","North Pacific",
"multinational","IPHC","NPAC","North Pacific",
"USA","NMFS","NPCOAST","Northern Pacific Coast",
"USA","NMFS","NWATL","Northwestern Atlantic",
"USA","NMFS","NWATLC","Northwestern Atlantic Coast",
"USA","NMFS","PCOAST","Pacific Coast",
"USA","NMFS","PI","Pribilof Islands",
"USA","NMFS","SATL","South Atlantic",
"USA","NMFS","SATLC","Southern Atlantic coast",
"USA","NMFS","SATLCGM","Southern Atlantic coast and Gulf of Mexico",
"USA","NMFS","SCAL","Southern California",
"USA","NMFS","SMI","Saint Matthews Island",
"USA","NMFS","SNEMATL","Southern New England /Mid Atlantic",
"USA","NMFS","SNEMATLB","Southern New England /Mid Atlantic Bight",
"USA","NMFS","SPCOAST","Southern Pacific Coast",
"USA","NMFS","WATL","Western Atlantic",
"USA","NMFS","WGM","Western Gulf of Mexico",
"USA","US State","ATKINS","Atkins Reservoir, Arkansas",
"USA","US State","HUNT","Hunt Creek, Michigan",
"USA","US State","KAB","Kabegogama Lake, Minnesota",
"USA","US State","MIN","Minter Creek, Washington",
"USA","US State","NIMROD","Nimrod Reservoir, Arkansas",
"USA","US State","OKA","Okatibbee Reservoir, Mississippi",
"USA","US State","RI","Rhode Island",
"USA","US State","ROSS","Ross Barnett Reservoir, Mississippi",
"USA","US State","SHAL","Shale Creek, Washington",
"USA","US State","SKY","South Fork Skykomish River, Washington",
"USA","US State","SNAH","Snahapish Creek, Washington",
"USA","US State","SNOW","Snow Creek, Washington",
"USA","US State","SPRI","Spring Creek, Oregon",
"USA","US State","TAYU","Little Tayuha Creek, Washington",
"USA","US State","WILD","Wildcat Creek, Washington",
"multinational","TRAC","5Z","Georges Bank",
